"Group","Ensembl id","Symbol","Entrezgene id","Chr","Type","Description"
"Upregulated","BRA021945"," ",NA,"A04","C","AT2G35050 (E=0.0) | protein kinase family protein "
"Upregulated","BRA022091"," ",NA,"A02","C","AT5G47010 (E=0.0) UPF1, LBA1, ATUPF1 | LBA1 (LOW-LEVEL BETA-AMYLASE 1)"
"Upregulated","BRA022204"," ",NA,"A05","C","AT3G17240 (E=2e-248) mtLPD2 | mtLPD2 (LIPOAMIDE DEHYDROGENASE 2)"
"Upregulated","BRA022997"," ",NA,"A03","C","AT2G34930 (E=0.0) | disease resistance family protein "
"Upregulated","BRA026227"," ",NA,"A01","C","AT1G30580 (E=2e-186) | GTP binding "
"Upregulated","BRA027198"," ",NA,"A05","C","AT3G15950 (E=7e-264) NAI2 | NAI2 "
"Upregulated","BRA028531"," ",NA,"A02","C","AT1G02080 (E=0.0) | transcriptional regulator-related "
"Upregulated","BRA028982"," ",NA,"A03","C","AT5G55400 (E=0.0) | fimbrin-like protein, putative "
"Upregulated","BRA029577"," ",NA,"A09","C","AT4G05420 (E=0.0) DDB1A | DDB1A (DAMAGED DNA BINDING PROTEIN 1A)"
"Upregulated","BRA030697"," ",NA,"A08","C","AT1G07770 (E=2e-070) RPS15A | RPS15A (ribosomal protein s15a)"
"Upregulated","BRA030923"," ",NA,"A08","C","AT1G53730 (E=0.0) SRF6 | SRF6 (STRUBBELIG-RECEPTOR FAMILY 6)"
"Upregulated","BRA031330"," ",NA,"A05","C","AT3G22170 (E=0.0) FHY3 | FHY3 (FAR-RED ELONGATED HYPOCOTYLS 3)"
"Upregulated","BRA033287"," ",NA,"A10","C","AT1G01080 (E=3e-093) | 33 kDa ribonucleoprotein, chloroplast, putative / RNA-binding protein cp33, putative "
"Upregulated","BRA033627"," ",NA,"A06","C","AT4G39530 (E=0.0) | pentatricopeptide (PPR) repeat-containing protein "
"Upregulated","BRA035228"," ",NA,"A08","C","AT4G11380 (E=0.0) | beta-adaptin, putative "
"Upregulated","BRA036137"," ",NA,"A09","C","AT3G04320 (E=1e-053) | endopeptidase inhibitor "
"Upregulated","BRA036321"," ",NA,"A09","C","AT4G01610 (E=6e-175) | cathepsin B-like cysteine protease, putative "
"Upregulated","BRA036791"," ",NA,"A09","C","AT3G51560 (E=0.0) | ATP binding / protein binding / transmembrane receptor "
"Upregulated","BRA037137"," ",NA,"A09","C","AT5G66920 (E=8e-272) sks17 | sks17 (SKU5 Similar 17)"
"Upregulated","BRA038070"," ",NA,"A08","C","AT3G15980 (E=0.0) | coatomer protein complex, subunit beta 2 (beta prime), putative "
"Upregulated","BRA038327"," ",NA,"A02","C","AT1G69070 (E=0.0) | FUNCTIONS IN: molecular_function unknown"
"Upregulated","BRA040674"," ",NA,"","C","AT2G19480 (E=3e-128) NFA02, NFA2, NAP1"
"Upregulated","ENSRNA049460521"," Plant_U3",117128791,"A09","snoRNA","Plant small nucleolar RNA U3"
