bra_id,BRA_id,in_scent_data,in_radiation_data,tier,routes,evidence
Bra003007,BRA003007,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003009,BRA003009,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003126,BRA003126,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00221 phenylalanine ammonia-lyase (PAL; phenylpropanoid entry)
Bra003184,BRA003184,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra003526,BRA003526,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra003629,BRA003629,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra003680,BRA003680,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003681,BRA003681,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003682,BRA003682,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003707,BRA003707,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra003953,BRA003953,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra004057,BRA004057,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra004058,BRA004058,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra004059,BRA004059,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra004060,BRA004060,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra004081,BRA004081,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra004115,BRA004115,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra004175,BRA004175,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra004183,BRA004183,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra004184,BRA004184,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra004273,BRA004273,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra004277,BRA004277,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra004977,BRA004977,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra004996,BRA004996,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra005042,BRA005042,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra005221,BRA005221,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00221 phenylalanine ammonia-lyase (PAL; phenylpropanoid entry)
Bra005648,BRA005648,1,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra005747,BRA005747,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra005802,BRA005802,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra005957,BRA005957,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra006412,BRA006412,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra006796,BRA006796,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra006797,BRA006797,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra006985,BRA006985,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00221 phenylalanine ammonia-lyase (PAL; phenylpropanoid entry)
Bra007649,BRA007649,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra007770,BRA007770,0,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra007825,BRA007825,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra007826,BRA007826,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra007918,BRA007918,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra008037,BRA008037,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra008313,BRA008313,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra008316,BRA008316,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra008358,BRA008358,0,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra008967,BRA008967,1,1,2,terpenoid,T2 GO:0016114 terpenoid biosynthetic process
Bra009043,BRA009043,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra009106,BRA009106,1,1,2,terpenoid,T2 GO:0051762 sesquiterpene biosynthetic process
Bra009292,BRA009292,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra009458,BRA009458,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra009459,BRA009459,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra009460,BRA009460,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra009461,BRA009461,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra009559,BRA009559,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra009632,BRA009632,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra009716,BRA009716,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra009717,BRA009717,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra009868,BRA009868,1,1,2,terpenoid,T2 GO:0016102 diterpenoid biosynthetic process
Bra010226,BRA010226,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra010319,BRA010319,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra010356,BRA010356,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra010433,BRA010433,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra010434,BRA010434,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra010555,BRA010555,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra010556,BRA010556,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra010711,BRA010711,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra010928,BRA010928,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra010977,BRA010977,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra011022,BRA011022,0,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra011292,BRA011292,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra011353,BRA011353,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra011384,BRA011384,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra011685,BRA011685,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra011722,BRA011722,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra011895,BRA011895,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra011934,BRA011934,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra012040,BRA012040,1,1,2,terpenoid,T2 GO:0016114 terpenoid biosynthetic process
Bra012070,BRA012070,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra012137,BRA012137,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra012138,BRA012138,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra012184,BRA012184,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra012268,BRA012268,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra012269,BRA012269,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra012270,BRA012270,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra012494,BRA012494,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra012513,BRA012513,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra012515,BRA012515,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra012603,BRA012603,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra012779,BRA012779,1,1,2,terpenoid,T2 GO:0016114 terpenoid biosynthetic process
Bra012794,BRA012794,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra012899,BRA012899,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra012955,BRA012955,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra013070,BRA013070,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra013109,BRA013109,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra013161,BRA013161,1,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra013298,BRA013298,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra013378,BRA013378,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra013482,BRA013482,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra013484,BRA013484,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra013809,BRA013809,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra014354,BRA014354,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra014587,BRA014587,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra014768,BRA014768,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra014988,BRA014988,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra015002,BRA015002,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra015015,BRA015015,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra015058,BRA015058,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra015454,BRA015454,0,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra015664,BRA015664,0,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra015719,BRA015719,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra016209,BRA016209,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra016211,BRA016211,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra016212,BRA016212,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra016432,BRA016432,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra016433,BRA016433,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra016498,BRA016498,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra016602,BRA016602,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra016735,BRA016735,1,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra017023,BRA017023,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra017041,BRA017041,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra017075,BRA017075,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra017210,BRA017210,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00221 phenylalanine ammonia-lyase (PAL; phenylpropanoid entry)
Bra017337,BRA017337,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra017350,BRA017350,1,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra017351,BRA017351,1,1,2,fatty_acid_GLV,T2 GO:0009695 jasmonic acid biosynthetic process
Bra017624,BRA017624,1,1,2,benzenoid_phenylpropanoid,T2 GO:0008171 O-methyltransferase activity
Bra017699,BRA017699,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra017700,BRA017700,1,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra017763,BRA017763,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra017797,BRA017797,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra018040,BRA018040,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra018686,BRA018686,0,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra019031,BRA019031,0,1,2,benzenoid_phenylpropanoid,T2 Pfam:PF00891 O-methyltransferase (benzenoid volatiles; also lignin) | T2 GO:0008171 O-methyltransferase activity
Bra019582,BRA019582,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra019711,BRA019711,0,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra020255,BRA020255,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra020376,BRA020376,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra020608,BRA020608,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra020921,BRA020921,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra020922,BRA020922,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T2 GO:0010333 terpene synthase activity"
Bra020953,BRA020953,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra020970,BRA020970,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra021082,BRA021082,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra021151,BRA021151,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra021322,BRA021322,1,1,1,fatty_acid_GLV,T1 Pfam:PF00305 lipoxygenase (LOX; green-leaf-volatile route)
Bra021495,BRA021495,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra021496,BRA021496,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra021497,BRA021497,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra021558,BRA021558,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra021560,BRA021560,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra021563,BRA021563,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
