pathway_id	brapa_gene	arabidopsis_agi	symbol
ath01100	Bra000127	AT2G39290	PGP1
ath03010	Bra000131	AT2G39390	AT2G39390
ath00510	Bra000139	AT2G39630	AT2G39630
ath01100	Bra000139	AT2G39630	AT2G39630
ath03015	Bra000153	AT2G39840	TOPP4
ath04156	Bra000153	AT2G39840	TOPP4
ath04519	Bra000153	AT2G39840	TOPP4
ath03010	Bra000159	AT2G40010	AT2G40010
ath03020	Bra000162	AT2G40030	NRPD1B
ath00562	Bra000168	AT2G40116	AT2G40116
ath01100	Bra000168	AT2G40116	AT2G40116
ath04070	Bra000168	AT2G40116	AT2G40116
ath04141	Bra000182	AT2G40290	AT2G40290
ath04156	Bra000182	AT2G40290	AT2G40290
ath03010	Bra000193	AT2G40590	AT2G40590
ath03040	Bra000198	AT2G40650	AT2G40650
ath04075	Bra000199	AT2G40670	RR16
ath00940	Bra000211	AT2G40890	CYP98A3
ath00941	Bra000211	AT2G40890	CYP98A3
ath00945	Bra000211	AT2G40890	CYP98A3
ath01100	Bra000211	AT2G40890	CYP98A3
ath01110	Bra000211	AT2G40890	CYP98A3
ath04016	Bra000214	AT3G56800	CAM3
ath04070	Bra000214	AT3G56800	CAM3
ath04075	Bra000214	AT3G56800	CAM3
ath04626	Bra000214	AT3G56800	CAM3
ath04082	Bra000217	AT2G41190	AT2G41190
ath00562	Bra000219	AT2G41210	PIP5K5
ath01100	Bra000219	AT2G41210	PIP5K5
ath04070	Bra000219	AT2G41210	PIP5K5
ath04144	Bra000219	AT2G41210	PIP5K5
ath04075	Bra000224	AT2G41310	RR3
ath00908	Bra000229	AT2G41510	CKX1
ath01110	Bra000229	AT2G41510	CKX1
ath01100	Bra000230	AT2G41530	SFGH
ath01200	Bra000230	AT2G41530	SFGH
ath03022	Bra000232	AT2G41630	TFIIB
ath02010	Bra000236	AT2G41700	ABCA1
ath04120	Bra000249	AT2G41980	AT2G41980
ath00230	Bra000253	AT2G42070	NUDX23
ath00740	Bra000253	AT2G42070	NUDX23
ath01100	Bra000253	AT2G42070	NUDX23
ath00260	Bra000260	AT2G42490	AT2G42490
ath00350	Bra000260	AT2G42490	AT2G42490
ath00360	Bra000260	AT2G42490	AT2G42490
ath00410	Bra000260	AT2G42490	AT2G42490
ath00950	Bra000260	AT2G42490	AT2G42490
ath00960	Bra000260	AT2G42490	AT2G42490
ath01100	Bra000260	AT2G42490	AT2G42490
ath01110	Bra000260	AT2G42490	AT2G42490
ath04519	Bra000268	AT2G42590	GRF9
ath03010	Bra000285	AT2G43030	AT2G43030
ath00480	Bra000302	AT2G43350	GPX3
ath01100	Bra000302	AT2G43350	GPX3
ath00620	Bra000305	AT2G43430	GLX2-1
ath01100	Bra000305	AT2G43430	GLX2-1
ath00520	Bra000311	AT2G43590	AT2G43590
ath01100	Bra000311	AT2G43590	AT2G43590
ath00520	Bra000312	AT2G43600	AT2G43600
ath01100	Bra000312	AT2G43600	AT2G43600
ath00061	Bra000321	AT2G43710	SSI2
ath01040	Bra000321	AT2G43710	SSI2
ath01100	Bra000321	AT2G43710	SSI2
ath01212	Bra000321	AT2G43710	SSI2
ath00040	Bra000331	AT2G43860	AT2G43860
ath01100	Bra000331	AT2G43860	AT2G43860
ath00040	Bra000332	AT2G43870	AT2G43870
ath01100	Bra000332	AT2G43870	AT2G43870
ath00400	Bra000336	AT5G34930	AT5G34930
ath01100	Bra000336	AT5G34930	AT5G34930
ath01110	Bra000336	AT5G34930	AT5G34930
ath01230	Bra000336	AT5G34930	AT5G34930
ath00261	Bra000338	AT2G44040	AT2G44040
ath00300	Bra000338	AT2G44040	AT2G44040
ath01100	Bra000338	AT2G44040	AT2G44040
ath01110	Bra000338	AT2G44040	AT2G44040
ath01230	Bra000338	AT2G44040	AT2G44040
ath00500	Bra000354	AT2G44570	GH9B12
ath01100	Bra000354	AT2G44570	GH9B12
ath03008	Bra000359	AT2G44680	CKB4
ath03083	Bra000359	AT2G44680	CKB4
ath04712	Bra000359	AT2G44680	CKB4
ath03060	Bra000368	AT2G45070	SEC61_BETA
ath04141	Bra000368	AT2G45070	SEC61_BETA
ath04145	Bra000368	AT2G45070	SEC61_BETA
ath00564	Bra000374	AT2G45150	CDS4
ath01100	Bra000374	AT2G45150	CDS4
ath01110	Bra000374	AT2G45150	CDS4
ath04070	Bra000374	AT2G45150	CDS4
ath04136	Bra000376	AT2G45170	ATG8E
ath04145	Bra000376	AT2G45170	ATG8E
ath04156	Bra000376	AT2G45170	ATG8E
ath04130	Bra000379	AT2G45200	GOS12
ath04075	Bra000380	AT2G45210	SAUR36
ath00040	Bra000382	AT2G45220	AT2G45220
ath01100	Bra000382	AT2G45220	AT2G45220
ath00400	Bra000384	AT2G45300	AT2G45300
ath01100	Bra000384	AT2G45300	AT2G45300
ath01110	Bra000384	AT2G45300	AT2G45300
ath01230	Bra000384	AT2G45300	AT2G45300
ath00053	Bra000385	AT2G45310	GAE4
ath00520	Bra000385	AT2G45310	GAE4
ath01100	Bra000385	AT2G45310	GAE4
ath01240	Bra000385	AT2G45310	GAE4
ath01250	Bra000385	AT2G45310	GAE4
ath00563	Bra000387	AT4G17910	AT4G17910
ath01100	Bra000387	AT4G17910	AT4G17910
ath00564	Bra000394	AT2G45670	AT2G45670
ath00565	Bra000394	AT2G45670	AT2G45670
ath01100	Bra000394	AT2G45670	AT2G45670
ath04122	Bra000397	AT2G45695	AT2G45695
ath03082	Bra000409	AT2G46020	BRM
ath03010	Bra000413	AT1G14620	DECOY
ath04075	Bra000421	AT2G46370	JAR1
ath03060	Bra000424	AT2G46470	OXA1L
ath00020	Bra000428	AT2G46505	SDH4
ath00190	Bra000428	AT2G46505	SDH4
ath01100	Bra000428	AT2G46505	SDH4
ath01110	Bra000428	AT2G46505	SDH4
ath01200	Bra000428	AT2G46505	SDH4
ath03040	Bra000445	AT2G47250	AT2G47250
ath04141	Bra000454	AT2G47470	UNE5
ath03010	Bra000455	AT2G47610	AT2G47610
ath03082	Bra000456	AT2G47620	SWI3A
ath00520	Bra000457	AT2G47650	UXS4
ath01100	Bra000457	AT2G47650	UXS4
ath01250	Bra000457	AT2G47650	UXS4
ath00480	Bra000460	AT2G47730	GSTF8
ath01100	Bra000460	AT2G47730	GSTF8
ath00460	Bra000461	AT4G22100	BGLU3
ath00500	Bra000461	AT4G22100	BGLU3
ath00999	Bra000461	AT4G22100	BGLU3
ath01100	Bra000461	AT4G22100	BGLU3
ath01110	Bra000461	AT4G22100	BGLU3
ath00400	Bra000473	AT2G29690	ASA2
ath01100	Bra000473	AT2G29690	ASA2
ath01110	Bra000473	AT2G29690	ASA2
ath01230	Bra000473	AT2G29690	ASA2
ath00480	Bra000474	AT2G29450	GSTU5
ath01100	Bra000474	AT2G29450	GSTU5
ath03015	Bra000475	AT2G29400	TOPP1
ath04156	Bra000475	AT2G29400	TOPP1
ath04519	Bra000475	AT2G29400	TOPP1
ath00960	Bra000477	AT2G29310	AT2G29310
ath01100	Bra000477	AT2G29310	AT2G29310
ath01110	Bra000477	AT2G29310	AT2G29310
ath04145	Bra000494	AT2G28390	AT2G28390
ath04075	Bra000497	AT2G28085	AT2G28085
ath03010	Bra000501	AT2G27710	AT2G27710
ath03250	Bra000503	AT2G27600	SKD1
ath03272	Bra000503	AT2G27600	SKD1
ath04144	Bra000503	AT2G27600	SKD1
ath00195	Bra000507	AT2G27510	FD3
ath01100	Bra000507	AT2G27510	FD3
ath00770	Bra000509	AT2G27490	ATCOAE
ath01100	Bra000509	AT2G27490	ATCOAE
ath01240	Bra000509	AT2G27490	ATCOAE
ath04626	Bra000510	AT2G27480	AT2G27480
ath03030	Bra000520	AT5G22110	DPB2
ath03410	Bra000520	AT5G22110	DPB2
ath03420	Bra000520	AT5G22110	DPB2
ath04016	Bra000528	AT2G27050	EIL1
ath04075	Bra000528	AT2G27050	EIL1
ath00280	Bra000534	AT2G26800	AT2G26800
ath00650	Bra000534	AT2G26800	AT2G26800
ath01100	Bra000534	AT2G26800	AT2G26800
ath04146	Bra000534	AT2G26800	AT2G26800
ath03050	Bra000537	AT2G26590	RPN13
ath00130	Bra000548	AT2G24850	TAT3
ath00270	Bra000548	AT2G24850	TAT3
ath00350	Bra000548	AT2G24850	TAT3
ath00360	Bra000548	AT2G24850	TAT3
ath00400	Bra000548	AT2G24850	TAT3
ath00950	Bra000548	AT2G24850	TAT3
ath00960	Bra000548	AT2G24850	TAT3
ath01100	Bra000548	AT2G24850	TAT3
ath01110	Bra000548	AT2G24850	TAT3
ath03008	Bra000550	AT2G25420	AT2G25420
ath04142	Bra000552	AT2G25730	AT2G25730
ath00906	Bra000558	AT2G26170	CYP711A1
ath01110	Bra000558	AT2G26170	CYP711A1
ath04075	Bra000560	AT4G00050	UNE10
ath00902	Bra000568	AT2G24210	TPS10
ath01110	Bra000568	AT2G24210	TPS10
ath04142	Bra000573	AT2G23150	NRAMP3
ath00240	Bra000581	AT2G21550	AT2G21550
ath00670	Bra000581	AT2G21550	AT2G21550
ath00790	Bra000581	AT2G21550	AT2G21550
ath01100	Bra000581	AT2G21550	AT2G21550
ath01232	Bra000581	AT2G21550	AT2G21550
ath01240	Bra000581	AT2G21550	AT2G21550
ath04142	Bra000591	AT2G42005	AT2G42005
ath00500	Bra000594	AT5G49720	GH9A1
ath01100	Bra000594	AT5G49720	GH9A1
ath00511	Bra000598	AT5G49900	AT5G49900
ath00600	Bra000598	AT5G49900	AT5G49900
ath01100	Bra000598	AT5G49900	AT5G49900
ath04382	Bra000598	AT5G49900	AT5G49900
ath00750	Bra000603	AT5G49970	PPOX
ath00230	Bra000623	AT5G50370	AT5G50370
ath00730	Bra000623	AT5G50370	AT5G50370
ath01100	Bra000623	AT5G50370	AT5G50370
ath01110	Bra000623	AT5G50370	AT5G50370
ath01232	Bra000623	AT5G50370	AT5G50370
ath01240	Bra000623	AT5G50370	AT5G50370
ath00100	Bra000625	AT5G50375	CPI1
ath01100	Bra000625	AT5G50375	CPI1
ath01110	Bra000625	AT5G50375	CPI1
ath00520	Bra000628	AT5G50750	RGP4
ath01100	Bra000628	AT5G50750	RGP4
ath01250	Bra000628	AT5G50750	RGP4
ath03008	Bra000634	AT4G07410	PCN
ath00270	Bra000637	AT4G08040	ACS11
ath01100	Bra000637	AT4G08040	ACS11
ath01110	Bra000637	AT4G08040	ACS11
ath04142	Bra000639	AT4G08180	ORP1C
ath03250	Bra000641	AT4G08350	GTA2
ath00220	Bra000659	AT4G08900	ARGAH1
ath00330	Bra000659	AT4G08900	ARGAH1
ath01100	Bra000659	AT4G08900	ARGAH1
ath01110	Bra000659	AT4G08900	ARGAH1
ath01230	Bra000659	AT4G08900	ARGAH1
ath04148	Bra000659	AT4G08900	ARGAH1
ath03010	Bra000666	AT5G40080	AT5G40080
ath00500	Bra000667	AT4G09020	ISA3
ath01100	Bra000667	AT4G09020	ISA3
ath01110	Bra000667	AT4G09020	ISA3
ath03430	Bra000674	AT4G09140	MLH1
ath03460	Bra000674	AT4G09140	MLH1
ath00052	Bra000681	AT4G09510	CINV2
ath00500	Bra000681	AT4G09510	CINV2
ath01100	Bra000681	AT4G09510	CINV2
ath01110	Bra000681	AT4G09510	CINV2
ath04075	Bra000682	AT4G09530	AT4G09530
ath04075	Bra000684	AT4G09570	CPK4
ath04626	Bra000684	AT4G09570	CPK4
ath00190	Bra000699	AT4G10040	CYTC-2
ath01100	Bra000699	AT4G10040	CYTC-2
ath04120	Bra000702	AT4G10180	DET1
ath04141	Bra000703	AT4G10250	ATHSP22.0
ath00051	Bra000704	AT4G10260	AT4G10260
ath00500	Bra000704	AT4G10260	AT4G10260
ath00520	Bra000704	AT4G10260	AT4G10260
ath01100	Bra000704	AT4G10260	AT4G10260
ath01110	Bra000704	AT4G10260	AT4G10260
ath01250	Bra000704	AT4G10260	AT4G10260
ath00196	Bra000708	AT4G10340	LHCB5
ath01100	Bra000708	AT4G10340	LHCB5
ath00051	Bra000720	AT4G30570	AT4G30570
ath00520	Bra000720	AT4G30570	AT4G30570
ath00541	Bra000720	AT4G30570	AT4G30570
ath01100	Bra000720	AT4G30570	AT4G30570
ath01110	Bra000720	AT4G30570	AT4G30570
ath01240	Bra000720	AT4G30570	AT4G30570
ath01250	Bra000720	AT4G30570	AT4G30570
ath04626	Bra000741	AT4G11260	SGT1B
ath00860	Bra000755	AT4G11910	AT4G11910
ath01110	Bra000755	AT4G11910	AT4G11910
ath04120	Bra000756	AT4G11920	CCS52A2
ath04144	Bra000766	AT4G12230	AT4G12230
ath04075	Bra000772	AT4G12410	AT4G12410
ath04142	Bra000774	AT4G12460	ORP2B
ath03022	Bra000782	AT4G12610	RAP74
ath04141	Bra000787	AT4G04210	PUX4
ath00410	Bra000788	AT4G04320	AT4G04320
ath00640	Bra000788	AT4G04320	AT4G04320
ath01100	Bra000788	AT4G04320	AT4G04320
ath04146	Bra000788	AT4G04320	AT4G04320
ath00970	Bra000791	AT4G04350	EMB2369
ath00190	Bra000802	AT4G04640	ATPC1
ath00195	Bra000802	AT4G04640	ATPC1
ath01100	Bra000802	AT4G04640	ATPC1
ath03008	Bra000809	AT4G04940	AT4G04940
ath04146	Bra000826	AT4G03410	AT4G03410
ath04626	Bra000836	AT4G03290	AT4G03290
ath00195	Bra000837	AT4G03280	PETC
ath01100	Bra000837	AT4G03280	PETC
ath00860	Bra000839	AT4G03240	FH
ath04075	Bra000842	AT4G03190	GRH1
ath04626	Bra000853	AT4G02930	AT4G02930
ath03040	Bra000860	AT4G02840	AT4G02840
ath00190	Bra000871	AT4G02620	AT4G02620
ath01100	Bra000871	AT4G02620	AT4G02620
ath04142	Bra000871	AT4G02620	AT4G02620
ath04145	Bra000871	AT4G02620	AT4G02620
ath00190	Bra000873	AT4G02580	AT4G02580
ath01100	Bra000873	AT4G02580	AT4G02580
ath00380	Bra000882	AT4G02405	AT4G02405
ath03410	Bra000883	AT4G02390	PARP2
ath00520	Bra000892	AT4G19760	AT4G19760
ath01100	Bra000892	AT4G19760	AT4G19760
ath04141	Bra000895	AT4G02080	SAR2
ath03430	Bra000896	AT4G02070	MSH6
ath03030	Bra000897	AT4G02060	PRL
ath00561	Bra000903	AT4G01950	GPAT3
ath00564	Bra000903	AT4G01950	GPAT3
ath01100	Bra000903	AT4G01950	GPAT3
ath01110	Bra000903	AT4G01950	GPAT3
ath00270	Bra000914	AT4G01850	SAM-2
ath00670	Bra000914	AT4G01850	SAM-2
ath00999	Bra000914	AT4G01850	SAM-2
ath01100	Bra000914	AT4G01850	SAM-2
ath01110	Bra000914	AT4G01850	SAM-2
ath01230	Bra000914	AT4G01850	SAM-2
ath01240	Bra000914	AT4G01850	SAM-2
ath03060	Bra000915	AT4G01800	AGY1
ath04626	Bra000937	AT4G01010	CNGC13
ath04016	Bra000938	AT4G01026	PYL7
ath04075	Bra000938	AT4G01026	PYL7
ath03010	Bra000953	AT4G01310	AT4G01310
ath00900	Bra000954	AT4G01320	ATSTE24
ath01110	Bra000954	AT4G01320	ATSTE24
ath04016	Bra000955	AT4G01370	MPK4
ath04626	Bra000955	AT4G01370	MPK4
ath03018	Bra000965	AT4G00660	RH8
ath00620	Bra000967	AT4G00570	NAD-ME2
ath00710	Bra000967	AT4G00570	NAD-ME2
ath01100	Bra000967	AT4G00570	NAD-ME2
ath01200	Bra000967	AT4G00570	NAD-ME2
ath04626	Bra000985	AT3G01830	AT3G01830
ath00230	Bra000986	AT3G01820	AT3G01820
ath00730	Bra000986	AT3G01820	AT3G01820
ath01100	Bra000986	AT3G01820	AT3G01820
ath01110	Bra000986	AT3G01820	AT3G01820
ath01232	Bra000986	AT3G01820	AT3G01820
ath01240	Bra000986	AT3G01820	AT3G01820
ath03010	Bra000989	AT3G01790	AT3G01790
ath03010	Bra000991	AT3G01740	AT3G01740
ath00514	Bra000993	AT3G01720	AT3G01720
ath00040	Bra000998	AT3G01640	GLCAK
ath00053	Bra000998	AT3G01640	GLCAK
ath00520	Bra000998	AT3G01640	GLCAK
ath01100	Bra000998	AT3G01640	GLCAK
ath01250	Bra000998	AT3G01640	GLCAK
ath03008	Bra000999	AT3G01610	CDC48C
ath00010	Bra001000	AT3G01590	AT3G01590
ath01100	Bra001000	AT3G01590	AT3G01590
ath01110	Bra001000	AT3G01590	AT3G01590
ath03040	Bra001004	AT3G01540	DRH1
ath00040	Bra001011	AT3G01270	AT3G01270
ath01100	Bra001011	AT3G01270	AT3G01270
ath00270	Bra001020	AT3G01120	MTO1
ath01100	Bra001020	AT3G01120	MTO1
ath01110	Bra001020	AT3G01120	MTO1
ath00270	Bra001046	AT3G02470	SAMDC
ath00330	Bra001046	AT3G02470	SAMDC
ath01100	Bra001046	AT3G02470	SAMDC
ath01110	Bra001046	AT3G02470	SAMDC
ath03420	Bra001050	AT3G02540	RAD23C
ath04141	Bra001050	AT3G02540	RAD23C
ath00061	Bra001057	AT3G02630	AT3G02630
ath01040	Bra001057	AT3G02630	AT3G02630
ath01100	Bra001057	AT3G02630	AT3G02630
ath01212	Bra001057	AT3G02630	AT3G02630
ath00970	Bra001061	AT3G02760	AT3G02760
ath00900	Bra001063	AT3G02780	IPP2
ath01100	Bra001063	AT3G02780	IPP2
ath01110	Bra001063	AT3G02780	IPP2
ath04146	Bra001079	AT3G03490	PEX19-1
ath00940	Bra001084	AT3G03670	AT3G03670
ath01100	Bra001084	AT3G03670	AT3G03670
ath01110	Bra001084	AT3G03670	AT3G03670
ath03018	Bra001085	AT3G03710	RIF10
ath00270	Bra001090	AT3G03780	MS2
ath00450	Bra001090	AT3G03780	MS2
ath01100	Bra001090	AT3G03780	MS2
ath01110	Bra001090	AT3G03780	MS2
ath01230	Bra001090	AT3G03780	MS2
ath00010	Bra001095	AT3G04050	AT3G04050
ath00620	Bra001095	AT3G04050	AT3G04050
ath01100	Bra001095	AT3G04050	AT3G04050
ath01110	Bra001095	AT3G04050	AT3G04050
ath01200	Bra001095	AT3G04050	AT3G04050
ath01230	Bra001095	AT3G04050	AT3G04050
ath00970	Bra001114	AT3G04600	AT3G04600
ath03015	Bra001118	AT3G04680	CLPS3
ath00270	Bra001131	AT3G04940	CYSD1
ath00920	Bra001131	AT3G04940	CYSD1
ath01100	Bra001131	AT3G04940	CYSD1
ath01110	Bra001131	AT3G04940	CYSD1
ath01200	Bra001131	AT3G04940	CYSD1
ath01230	Bra001131	AT3G04940	CYSD1
ath01320	Bra001131	AT3G04940	CYSD1
ath04146	Bra001144	AT3G05290	PNC1
ath00564	Bra001150	AT3G05510	AT3G05510
ath03010	Bra001154	AT3G05560	AT3G05560
ath03015	Bra001155	AT3G05580	TOPP9
ath04156	Bra001155	AT3G05580	TOPP9
ath04519	Bra001155	AT3G05580	TOPP9
ath03010	Bra001156	AT3G05590	RPL18
ath00061	Bra001177	AT3G05970	LACS6
ath00071	Bra001177	AT3G05970	LACS6
ath01100	Bra001177	AT3G05970	LACS6
ath01212	Bra001177	AT3G05970	LACS6
ath04146	Bra001177	AT3G05970	LACS6
ath04136	Bra001197	AT3G06420	ATG8H
ath04145	Bra001197	AT3G06420	ATG8H
ath04156	Bra001197	AT3G06420	ATG8H
ath03040	Bra001200	AT3G06480	AT3G06480
ath03008	Bra001203	AT3G06530	AT3G06530
ath00592	Bra001207	AT4G13010	AT4G13010
ath01110	Bra001207	AT4G13010	AT4G13010
ath00280	Bra001220	AT3G06850	BCE2
ath00640	Bra001220	AT3G06850	BCE2
ath00785	Bra001220	AT3G06850	BCE2
ath01100	Bra001220	AT3G06850	BCE2
ath01110	Bra001220	AT3G06850	BCE2
ath01210	Bra001220	AT3G06850	BCE2
ath03008	Bra001232	AT3G07050	NSN1
ath04626	Bra001254	AT3G07490	AGD11
ath04814	Bra001287	AT3G10180	AT3G10180
ath00260	Bra001289	AT3G10050	OMR1
ath00290	Bra001289	AT3G10050	OMR1
ath01100	Bra001289	AT3G10050	OMR1
ath01110	Bra001289	AT3G10050	OMR1
ath01200	Bra001289	AT3G10050	OMR1
ath01230	Bra001289	AT3G10050	OMR1
ath03015	Bra001296	AT3G09880	ATB'_BETA
ath04382	Bra001296	AT3G09880	ATB'_BETA
ath04082	Bra001315	AT3G09330	AT3G09330
ath00460	Bra001320	AT3G09260	PYK10
ath00500	Bra001320	AT3G09260	PYK10
ath00999	Bra001320	AT3G09260	PYK10
ath01100	Bra001320	AT3G09260	PYK10
ath01110	Bra001320	AT3G09260	PYK10
ath03010	Bra001324	AT3G09200	AT3G09200
ath00860	Bra001325	AT3G09150	HY2
ath01110	Bra001325	AT3G09150	HY2
ath00520	Bra001338	AT3G08900	RGP3
ath01100	Bra001338	AT3G08900	RGP3
ath01250	Bra001338	AT3G08900	RGP3
ath00250	Bra001341	AT3G08860	PYD4
ath00260	Bra001341	AT3G08860	PYD4
ath00270	Bra001341	AT3G08860	PYD4
ath00280	Bra001341	AT3G08860	PYD4
ath00630	Bra001341	AT3G08860	PYD4
ath01100	Bra001341	AT3G08860	PYD4
ath01110	Bra001341	AT3G08860	PYD4
ath01200	Bra001341	AT3G08860	PYD4
ath01210	Bra001341	AT3G08860	PYD4
ath04136	Bra001342	AT3G08850	RAPTOR1
ath04142	Bra001342	AT3G08850	RAPTOR1
ath04156	Bra001342	AT3G08850	RAPTOR1
ath03083	Bra001347	AT3G08690	UBC11
ath04120	Bra001347	AT3G08690	UBC11
ath04141	Bra001347	AT3G08690	UBC11
ath03022	Bra001354	AT3G10330	AT3G10330
ath04144	Bra001371	AT3G10640	VPS60.1
ath04075	Bra001373	AT3G10660	CPK2
ath04626	Bra001373	AT3G10660	CPK2
ath04130	Bra001422	AT3G11820	SYP121
ath04142	Bra001425	AT3G11900	ANT1
ath00130	Bra001429	AT3G11945	HST
ath01100	Bra001429	AT3G11945	HST
ath01110	Bra001429	AT3G11945	HST
ath01240	Bra001429	AT3G11945	HST
ath00190	Bra001444	AT3G12260	AT3G12260
ath01100	Bra001444	AT3G12260	AT3G12260
ath00670	Bra001447	AT3G12290	AT3G12290
ath01100	Bra001447	AT3G12290	AT3G12290
ath01200	Bra001447	AT3G12290	AT3G12290
ath01240	Bra001447	AT3G12290	AT3G12290
ath03250	Bra001451	AT3G12400	ELC
ath03272	Bra001451	AT3G12400	ELC
ath04144	Bra001451	AT3G12400	ELC
ath00010	Bra001470	AT3G12780	PGK1
ath00710	Bra001470	AT3G12780	PGK1
ath01100	Bra001470	AT3G12780	PGK1
ath01110	Bra001470	AT3G12780	PGK1
ath01200	Bra001470	AT3G12780	PGK1
ath01230	Bra001470	AT3G12780	PGK1
ath04146	Bra001471	AT3G12800	SDRB
ath03008	Bra001474	AT3G12860	AT3G12860
ath00999	Bra001476	AT3G12900	AT3G12900
ath01110	Bra001476	AT3G12900	AT3G12900
ath03050	Bra001500	AT3G13330	PA200
ath00053	Bra001503	AT3G13390	sks11
ath01100	Bra001503	AT3G13390	sks11
ath03018	Bra001507	AT3G13470	Cpn60beta2
ath04156	Bra001507	AT3G13470	Cpn60beta2
ath04120	Bra001519	AT3G13672	AT3G13672
ath03018	Bra001524	AT3G13860	HSP60-3A
ath04156	Bra001524	AT3G13860	HSP60-3A
ath03010	Bra001526	AT3G13882	AT3G13882
ath00562	Bra001545	AT3G14270	FAB1B
ath01100	Bra001545	AT3G14270	FAB1B
ath04070	Bra001545	AT3G14270	FAB1B
ath04142	Bra001545	AT3G14270	FAB1B
ath04145	Bra001545	AT3G14270	FAB1B
ath00630	Bra001550	AT3G14415	GOX2
ath01100	Bra001550	AT3G14415	GOX2
ath01110	Bra001550	AT3G14415	GOX2
ath01200	Bra001550	AT3G14415	GOX2
ath04146	Bra001550	AT3G14415	GOX2
ath00900	Bra001556	AT3G29430	AT3G29430
ath01100	Bra001556	AT3G29430	AT3G29430
ath01110	Bra001556	AT3G29430	AT3G29430
ath00620	Bra001575	AT3G14940	PPC3
ath00710	Bra001575	AT3G14940	PPC3
ath01100	Bra001575	AT3G14940	PPC3
ath01200	Bra001575	AT3G14940	PPC3
ath04144	Bra001581	AT3G15060	RABA1g
ath04142	Bra001585	AT3G15160	AT3G15160
ath00040	Bra001605	AT3G15720	AT3G15720
ath01100	Bra001605	AT3G15720	AT3G15720
ath00010	Bra001645	AT3G16950	LPD1
ath00020	Bra001645	AT3G16950	LPD1
ath00260	Bra001645	AT3G16950	LPD1
ath00280	Bra001645	AT3G16950	LPD1
ath00310	Bra001645	AT3G16950	LPD1
ath00380	Bra001645	AT3G16950	LPD1
ath00620	Bra001645	AT3G16950	LPD1
ath00630	Bra001645	AT3G16950	LPD1
ath00640	Bra001645	AT3G16950	LPD1
ath00670	Bra001645	AT3G16950	LPD1
ath00785	Bra001645	AT3G16950	LPD1
ath01100	Bra001645	AT3G16950	LPD1
ath01110	Bra001645	AT3G16950	LPD1
ath01200	Bra001645	AT3G16950	LPD1
ath01210	Bra001645	AT3G16950	LPD1
ath01240	Bra001645	AT3G16950	LPD1
ath00730	Bra001646	AT3G16990	AT3G16990
ath01100	Bra001646	AT3G16990	AT3G16990
ath00230	Bra001664	AT3G17470	CRSH
ath01100	Bra001664	AT3G17470	CRSH
ath04712	Bra001671	AT3G17609	HYH
ath00770	Bra001695	AT3G18030	HAL3A
ath01100	Bra001695	AT3G18030	HAL3A
ath01240	Bra001695	AT3G18030	HAL3A
ath03430	Bra001709	AT3G18524	MSH2
ath00908	Bra001737	AT3G19160	IPT8
ath01100	Bra001737	AT3G19160	IPT8
ath01110	Bra001737	AT3G19160	IPT8
ath00600	Bra001740	AT3G19260	LOH2
ath01100	Bra001740	AT3G19260	LOH2
ath00260	Bra001747	AT3G19480	AT3G19480
ath00270	Bra001747	AT3G19480	AT3G19480
ath01100	Bra001747	AT3G19480	AT3G19480
ath01110	Bra001747	AT3G19480	AT3G19480
ath01200	Bra001747	AT3G19480	AT3G19480
