brapa_gene	arabidopsis_agi	identity_pct	evalue	bitscore
Bra000104	AT2G38905	96.3	3.45e-33	107
Bra000105	AT2G38910	88.2	0	999
Bra000106	AT2G38920	86.3	6.91e-216	591
Bra000109	AT2G38995	72.1	2.57e-266	732
Bra000111	AT2G39010	94.7	1.91e-197	541
Bra000112	AT2G39020	88.9	6.33e-142	396
Bra000113	AT2G39040	81.3	3.27e-197	546
Bra000114	AT2G28290	71.9	0	2471
Bra000115	AT2G39050	73.4	1.17e-133	382
Bra000116	AT2G39060	87.7	8e-155	431
Bra000117	AT2G39080	81.9	8.95e-205	565
Bra000118	AT2G39170	79.7	4.53e-120	340
Bra000119	AT2G39180	86.4	0	1213
Bra000120	AT2G39190	85.8	0	1344
Bra000122	AT2G39200	86	0	938
Bra000125	AT2G39220	88.5	1.78e-311	846
Bra000126	AT2G39260	87.9	0	1879
Bra000127	AT2G39290	75	1.72e-138	392
Bra000130	AT2G39360	76.9	0	1184
Bra000131	AT2G39390	95.9	5.73e-70	208
Bra000134	AT2G39435	57.1	7.3e-150	434
Bra000138	AT2G39620	77.5	0	1300
Bra000139	AT2G39630	88	2.82e-216	592
Bra000140	AT2G39650	86.9	4.37e-182	503
Bra000141	AT2G39660	89.8	1.62e-258	704
Bra000143	AT2G39720	73.6	2.51e-175	493
Bra000144	AT2G39730	93.5	0	881
Bra000145	AT2G39750	85.3	0	1203
Bra000151	AT2G39805	86.6	5.29e-175	483
Bra000152	AT2G39830	87.1	0	943
Bra000153	AT2G39840	99	7.74e-236	648
Bra000155	AT2G39910	81.5	3.35e-239	659
Bra000157	AT2G39990	91.8	5e-193	530
Bra000158	AT2G40000	80.7	5.21e-259	708
Bra000159	AT2G40010	92.5	1.81e-203	558
Bra000162	AT2G40030	75.7	0	2498
Bra000163	AT2G40060	82	5.3e-140	393
Bra000164	AT2G40070	80	1.32e-220	625
Bra000167	AT2G40095	91.5	4.2e-119	338
Bra000168	AT2G40116	90.1	0	1111
Bra000169	AT2G40130	73.8	0	1282
Bra000171	AT2G40150	82.8	1.59e-260	711
Bra000172	AT2G40160	77.2	3.14e-254	696
Bra000173	AT2G40170	79.3	6.43e-38	121
Bra000174	AT2G40180	83.3	1.25e-212	587
Bra000181	AT2G40280	87.5	0	1061
Bra000182	AT2G40290	93.8	6.29e-228	622
Bra000186	AT2G40450	71.7	1.14e-92	269
Bra000190	AT2G40480	72	1.05e-228	637
Bra000193	AT2G40590	95.4	5.42e-85	243
Bra000196	AT2G40630	60.4	2.08e-175	501
Bra000197	AT2G40640	71.9	2.94e-161	455
Bra000198	AT2G40650	97.4	1.14e-132	382
Bra000199	AT2G40670	86.7	1.34e-94	270
Bra000200	AT2G40720	81.9	0	1354
Bra000201	AT2G40730	94.6	0	1404
Bra000202	AT2G40740	70.2	2.05e-133	380
Bra000204	AT2G40765	77.8	3.26e-26	89.7
Bra000206	AT2G40815	57.3	5.9e-117	342
Bra000207	AT2G40830	77	2.92e-165	462
Bra000208	AT2G40850	82.1	0	874
Bra000209	AT2G40860	87.2	0	1145
Bra000211	AT2G40890	95.5	0	991
Bra000213	AT2G40980	77.1	0	968
Bra000214	AT3G56800	100	2.61e-83	241
Bra000217	AT2G41190	90.2	0	874
Bra000218	AT2G41200	87.6	1.27e-98	280
Bra000219	AT2G41210	93.7	0	1083
Bra000221	AT2G41225	53	1.21e-09	48.5
Bra000223	AT2G41300	86.7	3.95e-218	601
Bra000224	AT2G41310	85	2e-117	333
Bra000225	AT2G41330	66.5	2e-174	492
Bra000226	AT2G41350	92	3.02e-183	506
Bra000229	AT2G41510	72.7	5.42e-270	745
Bra000230	AT2G41530	92.3	1.08e-203	556
Bra000232	AT2G41630	89.4	1.89e-202	555
Bra000235	AT2G41690	73.9	2.6e-114	327
Bra000236	AT2G41700	90.1	0	3312
Bra000239	AT2G41760	84.1	2.81e-134	375
Bra000240	AT2G41770	91.8	0	1442
Bra000246	AT2G41945	75.6	4.29e-94	270
Bra000248	AT2G41970	93.7	1.38e-251	684
Bra000249	AT2G41980	88.3	2.45e-211	577
Bra000251	AT2G42040	66.4	7.24e-89	264
Bra000252	AT2G42060	85.3	8.08e-167	462
Bra000253	AT2G42070	89.3	5.94e-178	491
Bra000259	AT2G42460	50.6	1.16e-81	248
Bra000260	AT2G42490	88.6	0	1446
Bra000263	AT2G42530	68.1	1.36e-49	155
Bra000267	AT2G42580	79.2	0	950
Bra000268	AT2G42590	93.2	2.64e-169	468
Bra000269	AT2G42610	98	1.14e-111	315
Bra000270	AT2G42660	54.8	5.8e-58	186
Bra000272	AT2G42680	93	1.09e-83	241
Bra000274	AT2G42780	70.8	1.12e-103	308
Bra000277	AT2G42880	93.2	0	1067
Bra000279	AT2G42890	79.9	0	1235
Bra000280	AT2G42910	95.3	2.84e-235	640
Bra000282	AT2G43000	86.9	1.69e-172	476
Bra000285	AT2G43030	86	8.41e-159	441
Bra000287	AT4G12530	78.4	7.16e-61	181
Bra000290	AT2G43130	97.1	4.32e-143	397
Bra000292	AT2G43150	90.2	6.99e-17	80.1
Bra000294	AT2G43180	79.4	1.46e-241	668
Bra000295	AT5G01020	94.1	6.81e-264	718
Bra000296	AT2G43200	86.7	0	928
Bra000297	AT2G43235	80.3	2.09e-225	624
Bra000298	AT2G43240	92.6	1.03e-261	714
Bra000302	AT2G43350	76.3	5.47e-108	307
Bra000304	AT2G43370	93.4	4.46e-155	437
Bra000305	AT2G43430	94.1	5.42e-202	554
Bra000307	AT2G43500	76.8	0	1357
Bra000309	AT2G43520	74.4	1.51e-48	148
Bra000311	AT2G43590	87.7	4.67e-180	495
Bra000312	AT2G43600	69.3	1.07e-147	415
Bra000317	AT2G43650	71.1	6.15e-274	764
Bra000320	AT2G43700	79	0	1022
Bra000321	AT2G43710	94	5.7e-280	759
Bra000325	AT2G43780	83.6	4.43e-35	113
Bra000331	AT2G43860	81.7	1.53e-242	665
Bra000332	AT2G43870	94	7.42e-273	739
Bra000333	AT2G43900	89.1	0	1995
Bra000334	AT2G43945	82.2	1.53e-153	429
Bra000335	AT2G43950	84.1	8.4e-198	546
Bra000336	AT5G34930	82.7	0	928
Bra000337	AT2G44000	67	1.57e-94	274
Bra000338	AT2G44040	89.7	1.68e-216	594
Bra000340	AT2G44080	68.4	3.91e-44	140
Bra000342	AT2G44130	73.4	3.07e-206	573
Bra000344	AT2G44180	94.2	7.07e-258	706
Bra000347	AT2G44210	85	1.51e-279	760
Bra000349	AT2G44310	89.4	6.6e-85	244
Bra000350	AT2G44330	65	2.23e-75	223
Bra000354	AT2G44570	80.6	2.07e-288	787
Bra000355	AT2G44610	99	4.72e-142	394
Bra000357	AT2G44640	80	3.46e-266	729
Bra000359	AT2G44680	84.2	3.79e-174	481
Bra000360	AT2G44730	60.3	8.91e-125	363
Bra000367	AT2G45060	82.2	1.34e-139	393
Bra000368	AT2G45070	97.6	6.43e-30	100
Bra000370	AT2G45110	80.2	1.03e-152	425
Bra000371	AT2G40360	78.6	0	1130
Bra000372	AT2G45120	59.8	2.2e-78	241
Bra000374	AT2G45150	79.7	1.06e-215	607
Bra000375	AT2G45160	73	4.72e-292	808
Bra000376	AT2G45170	93.4	1.89e-79	229
Bra000377	AT2G45180	88.1	1.02e-72	213
Bra000379	AT2G45200	88.3	2.77e-150	418
Bra000380	AT2G45210	67.3	1.47e-72	214
Bra000382	AT2G45220	92.9	0	954
Bra000383	AT2G45260	86.8	1.46e-260	711
Bra000384	AT2G45300	92.5	0	918
Bra000385	AT2G45310	87.2	1.47e-273	746
Bra000386	AT2G45320	84.6	1.89e-243	666
Bra000387	AT4G17910	84	2.47e-267	732
Bra000390	AT2G45510	86.7	0	892
Bra000392	AT2G45650	81.5	3.41e-142	398
Bra000394	AT2G45670	81.9	0	882
Bra000397	AT2G45695	88.1	2.24e-63	186
Bra000399	AT2G45720	83.9	8.81e-233	652
Bra000405	AT2G45940	65.7	1.35e-166	470
Bra000406	AT4G16090	69.6	1.14e-116	338
Bra000409	AT2G46020	86.6	0	3485
Bra000412	AT1G01680	62.3	2.26e-120	346
Bra000413	AT1G14620	93.6	1.03e-159	441
Bra000419	AT2G46330	91.8	4.22e-40	125
Bra000421	AT2G46370	89.5	0	1035
Bra000422	AT2G46375	62.2	1.74e-24	90.5
Bra000424	AT2G46470	82	3.39e-239	658
Bra000428	AT2G46505	64.7	1.95e-55	170
Bra000429	AT2G46590	81.3	7.19e-187	521
Bra000432	AT2G46800	85	4.27e-211	584
Bra000433	AT2G46850	87.9	0	1087
Bra000434	AT2G46870	74.3	8.55e-147	414
Bra000435	AT2G46940	71.5	5.94e-110	317
Bra000440	AT2G47115	78.3	2.33e-170	478
Bra000445	AT2G47250	94.7	0	1372
Bra000446	AT2G47310	65.5	2.78e-92	281
Bra000450	AT2G47380	92.2	3.2e-40	125
Bra000451	AT2G47400	87.3	1.73e-72	211
Bra000453	AT2G47460	73.5	6.48e-190	529
Bra000454	AT2G47470	93.1	1.31e-243	664
Bra000455	AT2G47610	96.1	1.7e-170	471
Bra000456	AT2G47620	71.5	1.52e-238	676
Bra000457	AT2G47650	86.6	2.71e-275	751
Bra000458	AT2G47710	91.4	1.68e-108	305
Bra000460	AT2G47730	83.3	1.01e-130	368
Bra000461	AT4G22100	76.5	5.8e-294	811
Bra000463	AT2G47820	63.9	5.33e-290	813
Bra000464	AT2G47830	85.7	7.8e-257	706
Bra000465	AT5G07900	71.5	9.31e-182	511
Bra000467	AT2G47950	54.5	3.36e-33	114
Bra000468	AT2G29950	60.6	5.2e-45	142
Bra000473	AT2G29690	85.2	0	1010
Bra000474	AT2G29450	87.5	3.66e-147	408
Bra000475	AT2G29400	95.3	1.29e-228	622
Bra000477	AT2G29310	85.1	2.16e-167	462
Bra000482	AT1G07795	66.7	9.96e-39	125
Bra000492	AT2G28480	86.5	7.77e-195	540
Bra000494	AT2G28390	85.8	0	1000
Bra000496	AT2G28105	83.2	4.12e-91	262
Bra000497	AT2G28085	91.1	2.28e-81	234
Bra000501	AT2G27710	91.2	7.8e-34	113
Bra000503	AT2G27600	95.9	2.34e-301	816
Bra000505	AT2G27580	78.8	2.51e-79	232
Bra000506	AT2G27550	96	9.2e-126	350
Bra000507	AT2G27510	86.5	7.67e-90	258
Bra000508	AT2G27500	89.3	1.67e-254	694
Bra000509	AT2G27490	88.6	1.15e-144	402
Bra000510	AT2G27480	79.9	8.71e-126	354
Bra000513	AT2G27389	60.7	1.07e-16	72
Bra000514	AT1G46984	55.5	5.28e-119	356
Bra000516	AT2G27330	79.8	4.54e-57	172
Bra000518	AT5G37290	90.6	3.07e-83	243
Bra000520	AT5G22110	83.2	2.26e-315	859
Bra000523	AT2G27140	65.3	1.91e-95	278
Bra000527	AT2G27035	73	7.77e-79	231
Bra000528	AT2G27050	80.6	0	889
Bra000529	AT2G26990	93.8	1.16e-299	812
Bra000531	AT2G26960	65	3.75e-170	483
Bra000532	AT2G26840	59.5	9.8e-96	281
Bra000533	AT2G26810	86.1	4.85e-149	415
Bra000534	AT2G26800	87.7	3.94e-270	738
Bra000535	AT2G26610	76.1	0	1825
Bra000536	AT2G26600	89.8	9.36e-234	640
Bra000537	AT2G26590	87.3	4.85e-184	508
Bra000538	AT2G26580	91.5	1.13e-107	303
Bra000539	AT2G26660	86.9	5.16e-163	453
Bra000540	AT2G26440	84.8	0	912
Bra000541	AT2G26450	84.7	0	1004
Bra000542	AT2G26480	75.4	3.6e-244	672
Bra000543	AT2G26510	83.8	0	886
Bra000544	AT2G26530	69	3.8e-136	387
Bra000547	AT2G24820	90	0	996
Bra000548	AT2G24850	78.8	2.89e-260	712
Bra000550	AT2G25420	59	9.82e-284	791
Bra000552	AT2G25730	81.2	0	1346
Bra000553	AT2G25737	85.9	1.47e-285	779
Bra000554	AT2G25740	79.3	8.36e-302	826
Bra000555	AT2G25790	83	1.62e-231	679
Bra000557	AT2G26150	81.5	2.68e-194	538
Bra000558	AT2G26170	87.9	0	929
Bra000559	AT4G00040	89	7.68e-252	687
Bra000560	AT4G00050	73.5	6.29e-162	459
Bra000561	AT4G00060	83.5	0	2344
Bra000563	AT2G24690	51.5	1.4e-278	795
Bra000566	AT2G24450	86.1	7.54e-140	394
Bra000567	AT3G63540	94.4	1.42e-92	268
Bra000568	AT2G24210	73.5	1.4e-318	873
Bra000571	AT2G23810	83.5	1.33e-168	466
Bra000573	AT2G23150	91.2	0	907
Bra000575	AT2G22840	86.4	1.14e-289	794
Bra000578	AT2G26560	88.6	7.75e-263	716
Bra000581	AT2G21550	74.2	1.42e-254	701
Bra000585	AT2G20980	82.8	6.99e-222	612
Bra000586	AT2G20960	65.3	1.05e-191	558
Bra000587	AT2G20950	64.3	7.96e-200	568
Bra000588	AT2G20920	84.6	3.87e-159	444
Bra000589	AT2G41990	82.2	4.61e-168	468
Bra000590	AT2G23240	81.5	1.39e-37	120
Bra000591	AT2G42005	86.8	2.03e-250	685
Bra000593	AT5G49700	82.1	9.94e-156	434
Bra000594	AT5G49720	94.8	0	1235
Bra000595	AT2G23390	85.8	1.23e-297	809
Bra000598	AT5G49900	88	0	1697
Bra000600	AT5G49930	89.5	0	1800
Bra000601	AT5G49940	79.3	1.27e-111	319
Bra000602	AT5G49945	74.8	5.42e-211	590
Bra000603	AT5G49970	89.7	1.18e-314	854
Bra000604	AT5G49980	90.1	0	1111
Bra000605	AT5G50000	95.3	1.2e-262	714
Bra000606	AT5G50020	84.2	5.28e-250	685
Bra000609	AT5G50090	86.3	9.49e-88	253
Bra000610	AT5G50110	90.4	1.59e-138	388
Bra000611	AT5G50120	76.9	2.68e-194	541
Bra000612	AT5G50180	95.1	3.38e-244	664
Bra000613	AT5G50200	77.1	8.98e-108	307
Bra000614	AT5G50240	83.1	3.8e-148	416
Bra000615	AT5G50260	89.5	6.24e-244	664
Bra000616	AT5G50280	79.6	7.9e-199	578
Bra000617	AT5G50310	88.7	0	1095
Bra000619	AT5G50320	98.8	0	1128
Bra000620	AT5G50340	92.4	2.54e-253	701
Bra000621	AT5G50350	71.1	1.04e-241	677
Bra000622	AT5G60160	94.5	0	904
Bra000623	AT5G50370	98.3	2.49e-172	474
Bra000625	AT5G50375	90.7	6.4e-167	463
Bra000628	AT5G50750	95.1	2.46e-273	739
Bra000632	AT4G07390	91.5	8.26e-154	426
Bra000633	AT3G12350	69.8	2.31e-204	568
Bra000634	AT4G07410	85.7	0	1400
Bra000635	AT4G07960	89.2	0	1200
Bra000636	AT4G07990	79.1	2.68e-124	351
Bra000637	AT4G08040	90.3	5.25e-310	840
Bra000638	AT4G08150	89	4.13e-228	627
Bra000639	AT4G08180	86	0	1354
Bra000641	AT4G08350	90.2	0	1597
Bra000642	AT4G08240	80	5.77e-66	196
Bra000643	AT4G08230	87.6	1.84e-52	160
Bra000644	AT4G08210	80.7	0	1032
Bra000646	AT4G08460	73.8	5.51e-122	350
Bra000650	AT4G08510	55.8	4.47e-146	432
Bra000651	AT4G08555	57.5	8.06e-17	67
Bra000654	AT4G08685	88.7	1.44e-103	293
Bra000655	AT4G08690	88	7.35e-192	528
Bra000656	AT4G08810	89.1	0	1004
Bra000657	AT4G08850	86.3	1.88e-217	649
Bra000659	AT4G08900	94.1	2.49e-231	631
Bra000660	AT4G08950	87.2	1.84e-194	535
Bra000661	AT4G08960	88.7	5.67e-257	700
Bra000663	AT4G09010	86.8	5.59e-213	587
Bra000666	AT5G40080	87.6	4.17e-53	160
Bra000667	AT4G09020	82.5	0	1260
Bra000671	AT1G43600	67.8	6.61e-89	261
Bra000672	AT4G09060	74.3	6.51e-138	395
Bra000673	AT4G09130	68.5	4.49e-163	459
Bra000674	AT4G09140	89.5	0	1284
Bra000675	AT4G09160	90.3	1.02e-205	577
Bra000676	AT4G09170	59.8	1.25e-33	113
Bra000677	AT3G57710	76.9	4.29e-198	548
Bra000678	AT4G09190	52.2	3.3e-111	330
Bra000679	AT4G09340	81	1.62e-262	719
Bra000680	AT4G09460	78.8	1.96e-131	369
Bra000681	AT4G09510	91.3	0	1023
Bra000682	AT4G09530	83.8	8.93e-52	157
Bra000683	AT4G09560	73.4	7.38e-220	610
Bra000684	AT4G09570	95.8	9.28e-312	848
Bra000685	AT4G09620	85.2	2.03e-133	372
Bra000688	AT4G09670	92.5	6.3e-249	677
Bra000690	AT4G09730	85.9	0	979
Bra000693	AT4G09810	94.2	2.74e-220	602
Bra000694	AT4G09830	90.1	1.3e-119	336
Bra000697	AT4G10020	94	4.14e-239	657
Bra000698	AT4G10030	87.2	6.7e-245	669
Bra000699	AT4G10040	97.3	7.7e-81	231
Bra000700	AT4G10050	91.9	8.87e-228	622
Bra000701	AT4G10170	77	6.09e-134	377
Bra000702	AT4G10180	86	0	919
Bra000703	AT4G10250	89.9	5.69e-119	335
Bra000704	AT4G10260	97.5	4.46e-225	613
Bra000705	AT4G10280	77.9	5.17e-76	221
Bra000706	AT4G10300	92.2	1.55e-69	203
Bra000708	AT4G10340	95.7	5.97e-199	544
Bra000709	AT4G10350	93.5	1.44e-248	674
Bra000713	AT4G10500	83.1	1.02e-218	600
Bra000714	AT4G10570	85.2	0	1566
Bra000716	AT4G10630	72.2	1.84e-170	475
Bra000717	AT4G10640	75.7	1.53e-208	580
Bra000719	AT4G10710	86.4	0	1731
Bra000720	AT4G30570	84.7	6.64e-189	524
Bra000721	AT4G10790	83.4	2.85e-237	657
Bra000724	AT4G10840	85.4	0	967
Bra000728	AT4G10920	72.7	2.14e-73	217
Bra000729	AT4G10930	72.3	0	1598
Bra000733	AT4G14180	79.2	0	1835
Bra000736	AT4G11140	57.8	2.05e-86	259
Bra000739	AT4G11220	90.8	1.93e-162	451
Bra000741	AT4G11260	87.4	1.05e-192	535
Bra000742	AT4G11360	76.6	6.62e-73	221
Bra000744	AT4G11470	76.9	0	974
Bra000747	AT4G11560	73.1	6.61e-285	786
Bra000754	AT4G11890	71.2	2.23e-179	501
Bra000755	AT4G11910	83.6	2.8e-166	461
Bra000756	AT4G11920	83.4	1.23e-288	787
Bra000757	AT4G11960	89.6	1.28e-170	475
Bra000760	AT4G12030	86.1	5.02e-239	656
Bra000766	AT4G12230	86	2.37e-231	635
Bra000767	AT4G12240	77.2	4.69e-199	551
Bra000770	AT4G10660	63.3	3.96e-134	383
Bra000772	AT4G12410	80.7	9.39e-92	263
Bra000774	AT4G12460	89.1	0	1238
Bra000775	AT4G12500	68.1	4.57e-69	206
Bra000778	AT4G12510	85.7	1.9e-72	212
Bra000782	AT4G12610	80.6	1.35e-227	642
Bra000784	AT4G03965	75.8	4.52e-102	293
Bra000786	AT4G04025	76	1.12e-79	234
Bra000787	AT4G04210	87.1	2.49e-184	509
Bra000788	AT4G04320	88.9	2.82e-306	852
Bra000789	AT4G04340	88.7	0	1358
Bra000791	AT4G04350	91.2	0	1796
Bra000792	AT4G04360	90.9	4.14e-111	313
Bra000793	AT4G04450	76.9	1.41e-233	652
Bra000795	AT4G04480	85.3	4.57e-209	579
Bra000799	AT4G04510	72.8	0	939
Bra000800	AT4G04500	76	0	981
Bra000801	AT1G03660	55.1	3.97e-28	99.8
Bra000802	AT4G04640	94.1	3.47e-222	610
Bra000803	AT4G04670	80.2	0	1412
Bra000804	AT4G04745	81.4	7.07e-60	180
Bra000806	AT4G04830	88	5.55e-90	257
Bra000809	AT4G04940	88.3	0	1608
Bra000810	AT4G04950	85.6	9.17e-298	811
Bra000812	AT4G05030	82.6	7.38e-36	116
Bra000815	AT1G66100	64.9	3.8e-55	168
Bra000819	AT4G03565	72.1	4.25e-85	254
Bra000820	AT4G03560	91	0	1295
Bra000825	AT4G03420	93.2	4.7e-210	574
Bra000826	AT4G03410	77.6	1.57e-189	528
Bra000832	AT1G80960	63.8	2.56e-183	520
Bra000836	AT4G03290	73.4	9.52e-63	189
Bra000837	AT4G03280	90.4	1.89e-152	422
Bra000839	AT4G03240	94.7	3.19e-77	227
Bra000840	AT4G03210	91.1	1.26e-205	561
Bra000842	AT4G03190	84.6	0	993
Bra000846	AT4G03080	92.5	0	1623
Bra000853	AT4G02930	94.3	8.62e-307	831
Bra000854	AT4G02920	81.1	4.95e-233	641
Bra000855	AT4G02900	92.1	0	1408
Bra000859	AT4G02850	78.4	5.11e-172	478
Bra000860	AT4G02840	87.3	5.53e-62	184
Bra000862	AT4G02800	77.2	1.96e-141	402
Bra000863	AT4G02790	88.2	1.87e-234	641
Bra000865	AT4G02740	61.6	6.6e-155	451
Bra000867	AT1G56220	84.3	4.83e-80	232
Bra000868	AT4G02680	86.8	0	1488
Bra000869	AT4G02660	80.5	0	5602
Bra000871	AT4G02620	96.9	7.82e-84	240
Bra000872	AT4G02590	85.4	4.74e-174	483
Bra000873	AT4G02580	96.9	1.52e-184	505
Bra000878	AT4G02480	84.1	0	2006
Bra000879	AT4G02450	91.1	3.04e-71	216
Bra000881	AT4G02420	74.1	0	998
Bra000882	AT4G02405	79.6	1.11e-169	473
Bra000883	AT4G02390	88.9	0	1066
Bra000884	AT4G02380	84.5	2.24e-48	151
Bra000890	AT4G02170	68.7	1.09e-76	226
Bra000892	AT4G19760	66.4	2.31e-174	489
Bra000893	AT4G02100	87	0	876
Bra000895	AT4G02080	97.9	1.68e-139	386
Bra000896	AT4G02070	85	0	2083
Bra000897	AT4G02060	95.4	0	1330
Bra000898	AT4G02050	93.9	0	937
Bra000900	AT4G02010	89.9	0	1236
Bra000901	AT4G01995	88.8	1.98e-149	417
Bra000902	AT4G01990	74.3	9.84e-268	736
Bra000903	AT4G01950	86.2	0	890
Bra000905	AT4G01940	81.3	1.5e-117	334
Bra000908	AT4G01900	83.8	5.87e-105	299
Bra000909	AT4G01897	76.6	5.69e-63	187
Bra000910	AT4G01895	66.3	3.32e-29	103
Bra000911	AT4G01890	72.2	1.36e-257	709
Bra000912	AT4G01880	84.6	5.85e-283	771
Bra000913	AT4G01870	79.6	0	1098
Bra000914	AT4G01850	98.7	1.89e-293	792
Bra000915	AT4G01800	89.4	0	1739
Bra000916	AT4G01790	86	1.04e-72	214
Bra000919	AT4G01650	81.8	9.47e-151	422
Bra000920	AT4G01630	91.8	3.84e-178	489
Bra000921	AT4G01575	76.3	5.62e-64	191
Bra000923	AT4G01450	79.2	4.66e-204	563
Bra000928	AT4G01395	94	0	1339
Bra000930	AT4G00820	74.7	7.46e-239	665
Bra000932	AT4G00840	88.7	3.22e-188	518
Bra000933	AT4G00910	84.9	9.99e-294	803
Bra000937	AT4G01010	86.7	0	1187
Bra000938	AT4G01026	89.6	2.09e-119	336
Bra000939	AT4G01040	85	3.37e-265	724
Bra000941	AT4G01060	84.2	1.79e-38	122
Bra000943	AT4G01090	60.5	2.03e-241	682
Bra000947	AT4G01150	87.7	5.93e-94	269
Bra000949	AT4G01210	82.4	0	1701
Bra000950	AT4G01220	90.6	8e-251	682
Bra000953	AT4G01310	92.7	3.47e-169	467
Bra000954	AT4G01320	95.5	4.02e-297	804
Bra000955	AT4G01370	95.4	3.95e-272	737
Bra000956	AT4G00770	72.2	1.95e-182	514
Bra000958	AT4G00752	76.4	1.38e-229	637
Bra000959	AT4G00740	94.6	0	1180
Bra000965	AT4G00660	91.7	0	883
Bra000967	AT4G00570	89.4	0	1101
Bra000968	AT4G00525	65.9	1.59e-44	142
Bra000969	AT4G00500	86.5	4.17e-299	812
Bra000970	AT4G00480	72.3	2.74e-247	694
Bra000971	AT4G00460	93.9	0	869
Bra000972	AT4G00450	88.2	0	3792
Bra000974	AT4G00430	98.3	1.26e-206	564
Bra000977	AT4G00355	53.3	1.4e-79	241
Bra000978	AT4G00170	85.4	5.72e-137	384
Bra000979	AT4G00120	66.7	5.09e-61	187
Bra000980	AT3G02000	91.2	5.81e-90	256
Bra000981	AT3G01990	83.7	2.27e-266	729
Bra000984	AT3G01860	59.2	1.72e-72	219
Bra000985	AT3G01830	72.9	5.98e-61	184
Bra000986	AT3G01820	76	2.03e-131	372
Bra000987	AT3G01810	74.6	0	1199
Bra000988	AT3G01800	79	5.18e-134	379
Bra000989	AT3G01790	89.3	4.56e-125	350
Bra000990	AT3G01750	81.7	0	940
Bra000991	AT3G01740	85.5	8.65e-64	189
Bra000993	AT3G01720	87.4	0	1484
Bra000995	AT5G14380	55.3	5.69e-13	61.6
Bra000996	AT3G01670	87.6	0	1451
Bra000998	AT3G01640	91.4	2.96e-239	653
Bra000999	AT3G01610	74.3	0	1102
Bra001000	AT3G01590	92	3.35e-202	570
Bra001001	AT3G01580	81	0	1016
Bra001002	AT3G01570	76.9	2.18e-87	254
Bra001003	AT3G01550	84.6	1.99e-223	614
Bra001004	AT3G01540	84.1	0	1024
Bra001005	AT3G01530	79	9.38e-105	300
Bra001006	AT3G01400	91.2	1.43e-72	229
Bra001011	AT3G01270	88.2	1.56e-312	847
Bra001017	AT3G01210	85.3	7.53e-144	402
Bra001019	AT5G15320	81.1	1.34e-23	82.8
Bra001020	AT3G01120	86.1	0	896
Bra001023	AT3G01085	87.5	0	1050
Bra001024	AT3G01050	90.7	2.44e-73	213
Bra001026	AT3G01030	50	2.23e-77	240
Bra001027	AT3G01015	71.7	1.48e-209	587
