bra_id	BRA_id	in_scent_data	in_radiation_data	scent_evidence
Bra003526	BRA003526	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra003629	BRA003629	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra003630	BRA003630	1	1	GO:triterpenoid biosynthetic process
Bra003680	BRA003680	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003681	BRA003681	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003682	BRA003682	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003707	BRA003707	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra003833	BRA003833	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra003953	BRA003953	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra004057	BRA004057	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra004058	BRA004058	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra004059	BRA004059	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra004060	BRA004060	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra004081	BRA004081	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra004115	BRA004115	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra004273	BRA004273	1	1	GO:O-methyltransferase activity
Bra004726	BRA004726	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra004977	BRA004977	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra004996	BRA004996	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra005042	BRA005042	0	1	GO:phenylpropanoid biosynthetic process
Bra005221	BRA005221	1	1	GO:phenylpropanoid metabolic process
Bra005405	BRA005405	1	1	GO:isoprenoid biosynthetic process
Bra005648	BRA005648	1	1	GO:jasmonic acid biosynthetic process
Bra005747	BRA005747	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra005957	BRA005957	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra006280	BRA006280	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra006354	BRA006354	1	1	GO:isoprenoid biosynthetic process
Bra006391	BRA006391	1	1	GO:isoprenoid biosynthetic process
Bra006412	BRA006412	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra006796	BRA006796	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra006797	BRA006797	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra006985	BRA006985	1	1	GO:phenylpropanoid metabolic process
Bra007059	BRA007059	1	1	GO:isoprenoid biosynthetic process
Bra007410	BRA007410	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra007649	BRA007649	1	1	GO:O-methyltransferase activity
Bra007770	BRA007770	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra007825	BRA007825	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra007826	BRA007826	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra007918	BRA007918	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra008037	BRA008037	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra008107	BRA008107	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra008261	BRA008261	1	1	GO:isoprenoid biosynthetic process
Bra008313	BRA008313	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra008316	BRA008316	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra008358	BRA008358	0	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra008569	BRA008569	1	1	GO:isoprenoid biosynthetic process
Bra008720	BRA008720	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra008967	BRA008967	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra009043	BRA009043	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra009106	BRA009106	1	1	GO:sesquiterpene biosynthetic process
Bra009292	BRA009292	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra009559	BRA009559	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra009632	BRA009632	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra009716	BRA009716	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra009717	BRA009717	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra009868	BRA009868	1	1	GO:diterpenoid biosynthetic process
Bra010123	BRA010123	1	1	GO:isoprenoid biosynthetic process
Bra010226	BRA010226	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra010296	BRA010296	1	1	GO:phenylpropanoid metabolic process
Bra010319	BRA010319	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra010576	BRA010576	1	1	GO:isoprenoid biosynthetic process
Bra010625	BRA010625	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra010626	BRA010626	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra010627	BRA010627	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra010711	BRA010711	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra010751	BRA010751	1	1	GO:isoprenoid biosynthetic process
Bra010928	BRA010928	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra010977	BRA010977	1	1	GO:O-methyltransferase activity
Bra011022	BRA011022	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra011292	BRA011292	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra011353	BRA011353	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra011384	BRA011384	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra011510	BRA011510	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra011709	BRA011709	1	1	GO:isoprenoid biosynthetic process
Bra011722	BRA011722	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra011798	BRA011798	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra011799	BRA011799	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra011895	BRA011895	1	1	GO:phenylpropanoid biosynthetic process
Bra011898	BRA011898	1	1	GO:isoprenoid biosynthetic process
Bra011934	BRA011934	0	1	GO:phenylpropanoid biosynthetic process
Bra012040	BRA012040	1	1	GO:terpenoid biosynthetic process
Bra012137	BRA012137	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra012138	BRA012138	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra012268	BRA012268	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra012269	BRA012269	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra012270	BRA012270	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra012494	BRA012494	1	1	GO:O-methyltransferase activity
Bra012513	BRA012513	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra012515	BRA012515	0	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N)
Bra012603	BRA012603	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra012779	BRA012779	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra012794	BRA012794	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra012899	BRA012899	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra012955	BRA012955	0	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra013070	BRA013070	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra013109	BRA013109	1	1	GO:phenylpropanoid biosynthetic process
Bra013161	BRA013161	1	1	GO:jasmonic acid biosynthetic process
Bra013167	BRA013167	1	1	GO:triterpenoid biosynthetic process
Bra013227	BRA013227	1	1	GO:terpene biosynthetic process
Bra013298	BRA013298	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra013378	BRA013378	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra013482	BRA013482	1	1	GO:O-methyltransferase activity
Bra013484	BRA013484	1	1	GO:O-methyltransferase activity
Bra013720	BRA013720	1	1	GO:isoprenoid biosynthetic process
Bra013809	BRA013809	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra013810	BRA013810	1	1	GO:phenylpropanoid metabolic process
Bra013811	BRA013811	1	1	GO:phenylpropanoid metabolic process
Bra014102	BRA014102	0	1	GO:isoprenoid biosynthetic process
Bra014354	BRA014354	1	1	GO:phenylpropanoid biosynthetic process
Bra014560	BRA014560	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra014587	BRA014587	1	1	GO:phenylpropanoid biosynthetic process
Bra014768	BRA014768	0	1	GO:phenylpropanoid biosynthetic process
Bra014828	BRA014828	1	1	GO:isoprenoid biosynthetic process
Bra014870	BRA014870	1	1	GO:isoprenoid biosynthetic process
Bra014952	BRA014952	1	1	GO:triterpenoid biosynthetic process
Bra014988	BRA014988	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra015002	BRA015002	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra015015	BRA015015	0	1	GO:phenylpropanoid biosynthetic process
Bra015058	BRA015058	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra015454	BRA015454	0	1	GO:jasmonic acid biosynthetic process
Bra015664	BRA015664	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra015719	BRA015719	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra015739	BRA015739	1	1	GO:isoprenoid biosynthetic process
Bra015975	BRA015975	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra016209	BRA016209	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra016211	BRA016211	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra016212	BRA016212	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra016432	BRA016432	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra016433	BRA016433	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra016602	BRA016602	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra016735	BRA016735	1	1	GO:jasmonic acid biosynthetic process
Bra017023	BRA017023	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra017041	BRA017041	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra017075	BRA017075	0	1	GO:phenylpropanoid biosynthetic process
Bra017210	BRA017210	1	1	GO:phenylpropanoid metabolic process
Bra017337	BRA017337	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra017350	BRA017350	1	1	GO:jasmonic acid biosynthetic process
Bra017351	BRA017351	1	1	GO:jasmonic acid biosynthetic process
Bra017624	BRA017624	1	1	GO:O-methyltransferase activity
Bra017639	BRA017639	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra017699	BRA017699	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra017700	BRA017700	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra017785	BRA017785	1	1	GO:isoprenoid biosynthetic process
Bra017797	BRA017797	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra018040	BRA018040	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra018686	BRA018686	0	1	GO:phenylpropanoid biosynthetic process
Bra019031	BRA019031	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra019223	BRA019223	1	1	GO:phenylpropanoid metabolic process
Bra019283	BRA019283	1	1	GO:isoprenoid biosynthetic process
Bra019582	BRA019582	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra020255	BRA020255	1	1	GO:phenylpropanoid biosynthetic process
Bra020376	BRA020376	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra020589	BRA020589	1	1	GO:isoprenoid biosynthetic process
Bra020608	BRA020608	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra020921	BRA020921	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra020922	BRA020922	0	1	GO:terpene synthase activity | Pfam:Terpene_synth (terpene synthase N)
Bra020953	BRA020953	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra020970	BRA020970	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra021082	BRA021082	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra021151	BRA021151	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra021322	BRA021322	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra021411	BRA021411	1	1	GO:isoprenoid biosynthetic process
Bra021495	BRA021495	1	1	GO:phenylpropanoid biosynthetic process
Bra021496	BRA021496	1	1	GO:phenylpropanoid biosynthetic process
Bra021497	BRA021497	1	1	GO:phenylpropanoid biosynthetic process
Bra021558	BRA021558	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra021560	BRA021560	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra021562	BRA021562	0	1	GO:isoprenoid biosynthetic process
Bra021563	BRA021563	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra021564	BRA021564	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra021565	BRA021565	0	1	GO:isoprenoid biosynthetic process
Bra021566	BRA021566	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra022156	BRA022156	1	1	GO:isoprenoid biosynthetic process
Bra022379	BRA022379	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra022425	BRA022425	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra022476	BRA022476	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra022535	BRA022535	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra022537	BRA022537	1	1	GO:O-methyltransferase activity
Bra022700	BRA022700	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra022862	BRA022862	0	1	GO:jasmonic acid biosynthetic process
Bra022982	BRA022982	1	1	GO:isoprenoid biosynthetic process
Bra023191	BRA023191	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra023565	BRA023565	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra023603	BRA023603	1	1	GO:isoprenoid biosynthetic process
Bra023829	BRA023829	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra023973	BRA023973	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024095	BRA024095	1	1	GO:phenylpropanoid metabolic process
Bra024128	BRA024128	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024129	BRA024129	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024131	BRA024131	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024134	BRA024134	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024450	BRA024450	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra024546	BRA024546	0	1	GO:phenylpropanoid biosynthetic process
Bra024701	BRA024701	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra024917	BRA024917	1	1	GO:isoprenoid biosynthetic process
Bra025160	BRA025160	0	1	GO:jasmonic acid biosynthetic process
Bra025163	BRA025163	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra025164	BRA025164	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra025401	BRA025401	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra025402	BRA025402	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra025403	BRA025403	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra025404	BRA025404	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra025527	BRA025527	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra025614	BRA025614	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra025636	BRA025636	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra025874	BRA025874	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra025875	BRA025875	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra025876	BRA025876	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra025900	BRA025900	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra026006	BRA026006	1	1	GO:isoprenoid biosynthetic process
Bra026038	BRA026038	0	1	GO:triterpenoid biosynthetic process
Bra026320	BRA026320	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra026453	BRA026453	1	1	GO:O-methyltransferase activity
Bra026454	BRA026454	1	1	GO:O-methyltransferase activity
Bra026472	BRA026472	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra026473	BRA026473	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra026591	BRA026591	1	1	GO:isoprenoid biosynthetic process
Bra027079	BRA027079	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth_C (terpene synthase C)
Bra027098	BRA027098	1	1	GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra027099	BRA027099	0	1	GO:terpene synthase activity | GO:terpenoid biosynthetic process
Bra027330	BRA027330	0	1	GO:isoprenoid biosynthetic process
Bra027336	BRA027336	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra027410	BRA027410	1	1	GO:phenylpropanoid biosynthetic process
