pathway_id	pathway_name
ath03450	Non-homologous end-joining
ath03460	Fanconi anemia pathway
ath03082	ATP-dependent chromatin remodeling
ath03083	Polycomb repressive complex
ath03250	Viral life cycle
ath03272	Virion
ath02010	ABC transporters
ath04016	MAPK signaling pathway
ath04070	Phosphatidylinositol signaling system
ath04075	Plant hormone signal transduction
ath04082	Neuroactive ligand signaling
ath04081	Hormone signaling
ath04517	IgSF CAM signaling
ath04518	Integrin signaling
ath04519	Cadherin signaling
ath04144	Endocytosis
ath04145	Phagocytosis
ath04142	Lysosome biogenesis
ath04146	Peroxisome
ath04136	Autophagy
ath04148	Efferocytosis
ath04156	Integrated stress response (ISR) signaling pathway
ath04814	Motor proteins
ath04820	Cytoskeleton in muscle cells
ath04620	Toll-like receptor signaling pathway
ath04981	Folate transport and metabolism
ath04382	Cornified envelope formation
ath04712	Circadian rhythm
ath04626	Plant-pathogen interaction
ath05100	Bacterial invasion of epithelial cells
