kegg_id,symbol,brapa_gene,arabidopsis_agi
ath:AT2G38820,AT2G38820,Bra000098,AT2G38820
ath:AT2G38840,AT2G38840,Bra000100,AT2G38840
ath:AT2G38870,AT2G38870,Bra000101,AT2G38870
ath:AT2G38890,AT2G38890,Bra000103,AT2G38890
ath:AT2G38905,AT2G38905,Bra000104,AT2G38905
ath:AT2G38910,CPK20,Bra000105,AT2G38910
ath:AT2G38920,AT2G38920,Bra000106,AT2G38920
ath:AT2G38995,AT2G38995,Bra000109,AT2G38995
ath:AT2G39010,PIP2E,Bra000111,AT2G39010
ath:AT2G39020,AT2G39020,Bra000112,AT2G39020
ath:AT2G39040,AT2G39040,Bra000113,AT2G39040
ath:AT2G28290,SYD,Bra000114,AT2G28290
ath:AT2G39050,EULS3,Bra000115,AT2G39050
ath:AT2G39060,SWEET9,Bra000116,AT2G39060
ath:AT2G39080,EMB2799,Bra000117,AT2G39080
ath:AT2G39170,AT2G39170,Bra000118,AT2G39170
ath:AT2G39180,CCR2,Bra000119,AT2G39180
ath:AT2G39190,ATATH8,Bra000120,AT2G39190
ath:AT2G39200,MLO12,Bra000122,AT2G39200
ath:AT2G39220,PLP6,Bra000125,AT2G39220
ath:AT2G39260,AT2G39260,Bra000126,AT2G39260
ath:AT2G39290,PGP1,Bra000127,AT2G39290
ath:AT2G39360,AT2G39360,Bra000130,AT2G39360
ath:AT2G39390,AT2G39390,Bra000131,AT2G39390
ath:AT2G39435,TRM18,Bra000134,AT2G39435
ath:AT2G39620,AT2G39620,Bra000138,AT2G39620
ath:AT2G39630,AT2G39630,Bra000139,AT2G39630
ath:AT2G39650,AT2G39650,Bra000140,AT2G39650
ath:AT2G39660,BIK1,Bra000141,AT2G39660
ath:AT2G39720,RHC2A,Bra000143,AT2G39720
ath:AT2G39730,RCA,Bra000144,AT2G39730
ath:AT2G39750,AT2G39750,Bra000145,AT2G39750
ath:AT2G39805,AT2G39805,Bra000151,AT2G39805
ath:AT2G39830,DAR2,Bra000152,AT2G39830
ath:AT2G39840,TOPP4,Bra000153,AT2G39840
ath:AT2G39910,AT2G39910,Bra000155,AT2G39910
ath:AT2G39990,EIF2,Bra000157,AT2G39990
ath:AT2G40000,HSPRO2,Bra000158,AT2G40000
ath:AT2G40010,AT2G40010,Bra000159,AT2G40010
ath:AT2G40030,NRPD1B,Bra000162,AT2G40030
ath:AT2G40060,CLC2,Bra000163,AT2G40060
ath:AT2G40070,AT2G40070,Bra000164,AT2G40070
ath:AT2G40095,AT2G40095,Bra000167,AT2G40095
ath:AT2G40116,AT2G40116,Bra000168,AT2G40116
ath:AT2G40130,AT2G40130,Bra000169,AT2G40130
ath:AT2G40150,TBL28,Bra000171,AT2G40150
ath:AT2G40160,TBL30,Bra000172,AT2G40160
ath:AT2G40170,GEA6,Bra000173,AT2G40170
ath:AT2G40180,PP2C5,Bra000174,AT2G40180
ath:AT2G40280,AT2G40280,Bra000181,AT2G40280
ath:AT2G40290,AT2G40290,Bra000182,AT2G40290
ath:AT2G40450,AT2G40450,Bra000186,AT2G40450
ath:AT2G40480,AT2G40480,Bra000190,AT2G40480
ath:AT2G40590,AT2G40590,Bra000193,AT2G40590
ath:AT2G40630,AT2G40630,Bra000196,AT2G40630
ath:AT2G40640,AT2G40640,Bra000197,AT2G40640
ath:AT2G40650,AT2G40650,Bra000198,AT2G40650
ath:AT2G40670,RR16,Bra000199,AT2G40670
ath:AT2G40720,AT2G40720,Bra000200,AT2G40720
ath:AT2G40730,CTEXP,Bra000201,AT2G40730
ath:AT2G40740,WRKY55,Bra000202,AT2G40740
ath:AT2G40765,AT2G40765,Bra000204,AT2G40765
ath:AT2G40815,AT2G40815,Bra000206,AT2G40815
ath:AT2G40830,RHC1A,Bra000207,AT2G40830
ath:AT2G40850,PI4K_GAMMA_1,Bra000208,AT2G40850
ath:AT2G40860,AT2G40860,Bra000209,AT2G40860
ath:AT2G40890,CYP98A3,Bra000211,AT2G40890
ath:AT2G40980,AT2G40980,Bra000213,AT2G40980
ath:AT3G56800,CAM3,Bra000214,AT3G56800
ath:AT2G41190,AT2G41190,Bra000217,AT2G41190
ath:AT2G41200,AT2G41200,Bra000218,AT2G41200
ath:AT2G41210,PIP5K5,Bra000219,AT2G41210
ath:AT2G41225,AT2G41225,Bra000221,AT2G41225
ath:AT2G41300,SSL1,Bra000223,AT2G41300
ath:AT2G41310,RR3,Bra000224,AT2G41310
ath:AT2G41330,AT2G41330,Bra000225,AT2G41330
ath:AT2G41350,AUG1,Bra000226,AT2G41350
ath:AT2G41510,CKX1,Bra000229,AT2G41510
ath:AT2G41530,SFGH,Bra000230,AT2G41530
ath:AT2G41630,TFIIB,Bra000232,AT2G41630
ath:AT2G41690,HSFB3,Bra000235,AT2G41690
ath:AT2G41700,ABCA1,Bra000236,AT2G41700
ath:AT2G41760,AT2G41760,Bra000239,AT2G41760
ath:AT2G41770,AT2G41770,Bra000240,AT2G41770
ath:AT2G41945,AT2G41945,Bra000246,AT2G41945
ath:AT2G41970,AT2G41970,Bra000248,AT2G41970
ath:AT2G41980,AT2G41980,Bra000249,AT2G41980
ath:AT2G42040,AT2G42040,Bra000251,AT2G42040
ath:AT2G42060,AT2G42060,Bra000252,AT2G42060
ath:AT2G42070,NUDX23,Bra000253,AT2G42070
ath:AT2G42460,AT2G42460,Bra000259,AT2G42460
ath:AT2G42490,AT2G42490,Bra000260,AT2G42490
ath:AT2G42530,COR15B,Bra000263,AT2G42530
ath:AT2G42580,TTL3,Bra000267,AT2G42580
ath:AT2G42590,GRF9,Bra000268,AT2G42590
ath:AT2G42610,LSH10,Bra000269,AT2G42610
ath:AT2G42660,AT2G42660,Bra000270,AT2G42660
ath:AT2G42680,MBF1A,Bra000272,AT2G42680
ath:AT2G42780,AT2G42780,Bra000274,AT2G42780
ath:AT2G42880,MPK20,Bra000277,AT2G42880
ath:AT2G42890,ML2,Bra000279,AT2G42890
ath:AT2G42910,AT2G42910,Bra000280,AT2G42910
ath:AT2G43000,NAC042,Bra000282,AT2G43000
ath:AT2G43030,AT2G43030,Bra000285,AT2G43030
ath:AT4G12530,AT4G12530,Bra000287,AT4G12530
ath:AT2G43130,ARA4,Bra000290,AT2G43130
ath:AT2G43150,AT2G43150,Bra000292,AT2G43150
ath:AT2G43180,AT2G43180,Bra000294,AT2G43180
ath:AT5G01020,AT5G01020,Bra000295,AT5G01020
ath:AT2G43200,AT2G43200,Bra000296,AT2G43200
ath:AT2G43235,AT2G43235,Bra000297,AT2G43235
ath:AT2G43240,AT2G43240,Bra000298,AT2G43240
ath:AT2G43350,GPX3,Bra000302,AT2G43350
ath:AT2G43370,AT2G43370,Bra000304,AT2G43370
ath:AT2G43430,GLX2-1,Bra000305,AT2G43430
ath:AT2G43500,AT2G43500,Bra000307,AT2G43500
ath:AT2G43520,TI2,Bra000309,AT2G43520
ath:AT2G43590,AT2G43590,Bra000311,AT2G43590
ath:AT2G43600,AT2G43600,Bra000312,AT2G43600
ath:AT2G43650,EMB2777,Bra000317,AT2G43650
ath:AT2G43700,AT2G43700,Bra000320,AT2G43700
ath:AT2G43710,SSI2,Bra000321,AT2G43710
ath:AT2G43780,AT2G43780,Bra000325,AT2G43780
ath:AT2G43860,AT2G43860,Bra000331,AT2G43860
ath:AT2G43870,AT2G43870,Bra000332,AT2G43870
ath:AT2G43900,5PTase12,Bra000333,AT2G43900
ath:AT2G43945,AT2G43945,Bra000334,AT2G43945
ath:AT2G43950,OEP37,Bra000335,AT2G43950
ath:AT5G34930,AT5G34930,Bra000336,AT5G34930
ath:AT2G44000,AT2G44000,Bra000337,AT2G44000
ath:AT2G44040,AT2G44040,Bra000338,AT2G44040
ath:AT2G44080,ARL,Bra000340,AT2G44080
ath:AT2G44130,AT2G44130,Bra000342,AT2G44130
ath:AT2G44180,MAP2A,Bra000344,AT2G44180
ath:AT2G44210,AT2G44210,Bra000347,AT2G44210
ath:AT2G44310,AT2G44310,Bra000349,AT2G44310
ath:AT2G44330,AT2G44330,Bra000350,AT2G44330
ath:AT2G44570,GH9B12,Bra000354,AT2G44570
ath:AT2G44610,RAB6A,Bra000355,AT2G44610
ath:AT2G44640,AT2G44640,Bra000357,AT2G44640
ath:AT2G44680,CKB4,Bra000359,AT2G44680
ath:AT2G44730,AT2G44730,Bra000360,AT2G44730
ath:AT2G45060,AT2G45060,Bra000367,AT2G45060
ath:AT2G45070,SEC61_BETA,Bra000368,AT2G45070
ath:AT2G45110,EXPB4,Bra000370,AT2G45110
ath:AT2G40360,AT2G40360,Bra000371,AT2G40360
ath:AT2G45120,AT2G45120,Bra000372,AT2G45120
ath:AT2G45150,CDS4,Bra000374,AT2G45150
ath:AT2G45160,HAM1,Bra000375,AT2G45160
ath:AT2G45170,ATG8E,Bra000376,AT2G45170
ath:AT2G45180,AT2G45180,Bra000377,AT2G45180
ath:AT2G45200,GOS12,Bra000379,AT2G45200
ath:AT2G45210,SAUR36,Bra000380,AT2G45210
ath:AT2G45220,AT2G45220,Bra000382,AT2G45220
ath:AT2G45260,AT2G45260,Bra000383,AT2G45260
ath:AT2G45300,AT2G45300,Bra000384,AT2G45300
ath:AT2G45310,GAE4,Bra000385,AT2G45310
ath:AT2G45320,AT2G45320,Bra000386,AT2G45320
ath:AT4G17910,AT4G17910,Bra000387,AT4G17910
ath:AT2G45510,CYP704A2,Bra000390,AT2G45510
ath:AT2G45650,AGL6,Bra000392,AT2G45650
ath:AT2G45670,AT2G45670,Bra000394,AT2G45670
ath:AT2G45695,AT2G45695,Bra000397,AT2G45695
ath:AT2G45720,AT2G45720,Bra000399,AT2G45720
ath:AT2G45940,AT2G45940,Bra000405,AT2G45940
ath:AT4G16090,AT4G16090,Bra000406,AT4G16090
ath:AT2G46020,BRM,Bra000409,AT2G46020
ath:AT1G01680,PUB54,Bra000412,AT1G01680
ath:AT1G14620,DECOY,Bra000413,AT1G14620
ath:AT2G46330,AGP16,Bra000419,AT2G46330
ath:AT2G46370,JAR1,Bra000421,AT2G46370
ath:AT2G46375,AT2G46375,Bra000422,AT2G46375
ath:AT2G46470,OXA1L,Bra000424,AT2G46470
ath:AT2G46505,SDH4,Bra000428,AT2G46505
ath:AT2G46590,DAG2,Bra000429,AT2G46590
ath:AT2G46800,ZAT,Bra000432,AT2G46800
ath:AT2G46850,AT2G46850,Bra000433,AT2G46850
ath:AT2G46870,NGA1,Bra000434,AT2G46870
ath:AT2G46940,AT2G46940,Bra000435,AT2G46940
ath:AT2G47115,AT2G47115,Bra000440,AT2G47115
ath:AT2G47250,AT2G47250,Bra000445,AT2G47250
ath:AT2G47310,AT2G47310,Bra000446,AT2G47310
ath:AT2G47380,AT2G47380,Bra000450,AT2G47380
ath:AT2G47400,CP12-1,Bra000451,AT2G47400
ath:AT2G47460,MYB12,Bra000453,AT2G47460
ath:AT2G47470,UNE5,Bra000454,AT2G47470
ath:AT2G47610,AT2G47610,Bra000455,AT2G47610
ath:AT2G47620,SWI3A,Bra000456,AT2G47620
ath:AT2G47650,UXS4,Bra000457,AT2G47650
ath:AT2G47710,AT2G47710,Bra000458,AT2G47710
ath:AT2G47730,GSTF8,Bra000460,AT2G47730
ath:AT4G22100,BGLU3,Bra000461,AT4G22100
ath:AT2G47820,AT2G47820,Bra000463,AT2G47820
ath:AT2G47830,AT2G47830,Bra000464,AT2G47830
ath:AT5G07900,AT5G07900,Bra000465,AT5G07900
ath:AT2G47950,AT2G47950,Bra000467,AT2G47950
ath:AT2G29950,ELF4-L1,Bra000468,AT2G29950
ath:AT2G29690,ASA2,Bra000473,AT2G29690
ath:AT2G29450,GSTU5,Bra000474,AT2G29450
ath:AT2G29400,TOPP1,Bra000475,AT2G29400
ath:AT2G29310,AT2G29310,Bra000477,AT2G29310
ath:AT1G07795,AT1G07795,Bra000482,AT1G07795
ath:AT2G28480,AT2G28480,Bra000492,AT2G28480
ath:AT2G28390,AT2G28390,Bra000494,AT2G28390
ath:AT2G28105,AT2G28105,Bra000496,AT2G28105
ath:AT2G28085,AT2G28085,Bra000497,AT2G28085
ath:AT2G27710,AT2G27710,Bra000501,AT2G27710
ath:AT2G27600,SKD1,Bra000503,AT2G27600
ath:AT2G27580,AT2G27580,Bra000505,AT2G27580
ath:AT2G27550,ATC,Bra000506,AT2G27550
ath:AT2G27510,FD3,Bra000507,AT2G27510
ath:AT2G27500,AT2G27500,Bra000508,AT2G27500
ath:AT2G27490,ATCOAE,Bra000509,AT2G27490
ath:AT2G27480,AT2G27480,Bra000510,AT2G27480
ath:AT2G27389,AT2G27389,Bra000513,AT2G27389
ath:AT1G46984,AT1G46984,Bra000514,AT1G46984
ath:AT2G27330,AT2G27330,Bra000516,AT2G27330
ath:AT5G37290,AT5G37290,Bra000518,AT5G37290
ath:AT5G22110,DPB2,Bra000520,AT5G22110
ath:AT2G27140,AT2G27140,Bra000523,AT2G27140
ath:AT2G27035,ENODL20,Bra000527,AT2G27035
ath:AT2G27050,EIL1,Bra000528,AT2G27050
ath:AT2G26990,FUS12,Bra000529,AT2G26990
ath:AT2G26960,MYB81,Bra000531,AT2G26960
ath:AT2G26840,AT2G26840,Bra000532,AT2G26840
ath:AT2G26810,AT2G26810,Bra000533,AT2G26810
ath:AT2G26800,AT2G26800,Bra000534,AT2G26800
ath:AT2G26610,AT2G26610,Bra000535,AT2G26610
ath:AT2G26600,AT2G26600,Bra000536,AT2G26600
ath:AT2G26590,RPN13,Bra000537,AT2G26590
ath:AT2G26580,YAB5,Bra000538,AT2G26580
ath:AT2G26660,SPX2,Bra000539,AT2G26660
ath:AT2G26440,AT2G26440,Bra000540,AT2G26440
ath:AT2G26450,AT2G26450,Bra000541,AT2G26450
ath:AT2G26480,UGT76D1,Bra000542,AT2G26480
ath:AT2G26510,PDE135,Bra000543,AT2G26510
ath:AT2G26530,AR781,Bra000544,AT2G26530
ath:AT2G24820,TIC55-II,Bra000547,AT2G24820
ath:AT2G24850,TAT3,Bra000548,AT2G24850
ath:AT2G25420,AT2G25420,Bra000550,AT2G25420
ath:AT2G25730,AT2G25730,Bra000552,AT2G25730
ath:AT2G25737,AT2G25737,Bra000553,AT2G25737
ath:AT2G25740,AT2G25740,Bra000554,AT2G25740
ath:AT2G25790,AT2G25790,Bra000555,AT2G25790
ath:AT2G26150,HSFA2,Bra000557,AT2G26150
ath:AT2G26170,CYP711A1,Bra000558,AT2G26170
ath:AT4G00040,AT4G00040,Bra000559,AT4G00040
ath:AT4G00050,UNE10,Bra000560,AT4G00050
ath:AT4G00060,MEE44,Bra000561,AT4G00060
ath:AT2G24690,AT2G24690,Bra000563,AT2G24690
ath:AT2G24450,FLA3,Bra000566,AT2G24450
ath:AT3G63540,AT3G63540,Bra000567,AT3G63540
ath:AT2G24210,TPS10,Bra000568,AT2G24210
ath:AT2G23810,TET8,Bra000571,AT2G23810
ath:AT2G23150,NRAMP3,Bra000573,AT2G23150
ath:AT2G22840,GRF1,Bra000575,AT2G22840
ath:AT2G26560,PLA2A,Bra000578,AT2G26560
ath:AT2G21550,AT2G21550,Bra000581,AT2G21550
ath:AT2G20980,MCM10,Bra000585,AT2G20980
ath:AT2G20960,pEARLI4,Bra000586,AT2G20960
ath:AT2G20950,AT2G20950,Bra000587,AT2G20950
ath:AT2G20920,AT2G20920,Bra000588,AT2G20920
ath:AT2G41990,AT2G41990,Bra000589,AT2G41990
ath:AT2G23240,AtMT4b,Bra000590,AT2G23240
ath:AT2G42005,AT2G42005,Bra000591,AT2G42005
ath:AT5G49700,AT5G49700,Bra000593,AT5G49700
ath:AT5G49720,GH9A1,Bra000594,AT5G49720
ath:AT2G23390,AT2G23390,Bra000595,AT2G23390
ath:AT5G49900,AT5G49900,Bra000598,AT5G49900
ath:AT5G49930,emb1441,Bra000600,AT5G49930
ath:AT5G49940,NFU2,Bra000601,AT5G49940
ath:AT5G49945,AT5G49945,Bra000602,AT5G49945
ath:AT5G49970,PPOX,Bra000603,AT5G49970
ath:AT5G49980,AFB5,Bra000604,AT5G49980
ath:AT5G50000,AT5G50000,Bra000605,AT5G50000
ath:AT5G50020,AT5G50020,Bra000606,AT5G50020
ath:AT5G50090,AT5G50090,Bra000609,AT5G50090
ath:AT5G50110,AT5G50110,Bra000610,AT5G50110
ath:AT5G50120,AT5G50120,Bra000611,AT5G50120
ath:AT5G50180,AT5G50180,Bra000612,AT5G50180
ath:AT5G50200,WR3,Bra000613,AT5G50200
ath:AT5G50240,PIMT2,Bra000614,AT5G50240
ath:AT5G50260,CEP1,Bra000615,AT5G50260
ath:AT5G50280,EMB1006,Bra000616,AT5G50280
ath:AT5G50310,AT5G50310,Bra000617,AT5G50310
ath:AT5G50320,ELO3,Bra000619,AT5G50320
ath:AT5G50340,AT5G50340,Bra000620,AT5G50340
ath:AT5G50350,AT5G50350,Bra000621,AT5G50350
ath:AT5G60160,AT5G60160,Bra000622,AT5G60160
ath:AT5G50370,AT5G50370,Bra000623,AT5G50370
ath:AT5G50375,CPI1,Bra000625,AT5G50375
ath:AT5G50750,RGP4,Bra000628,AT5G50750
ath:AT4G07390,AT4G07390,Bra000632,AT4G07390
ath:AT3G12350,AT3G12350,Bra000633,AT3G12350
ath:AT4G07410,PCN,Bra000634,AT4G07410
ath:AT4G07960,CSLC12,Bra000635,AT4G07960
ath:AT4G07990,AT4G07990,Bra000636,AT4G07990
ath:AT4G08040,ACS11,Bra000637,AT4G08040
ath:AT4G08150,KNAT1,Bra000638,AT4G08150
ath:AT4G08180,ORP1C,Bra000639,AT4G08180
ath:AT4G08350,GTA2,Bra000641,AT4G08350
ath:AT4G08240,AT4G08240,Bra000642,AT4G08240
ath:AT4G08230,AT4G08230,Bra000643,AT4G08230
ath:AT4G08210,AT4G08210,Bra000644,AT4G08210
ath:AT4G08460,AT4G08460,Bra000646,AT4G08460
ath:AT4G08510,AT4G08510,Bra000650,AT4G08510
ath:AT4G08555,AT4G08555,Bra000651,AT4G08555
ath:AT4G08685,SAH7,Bra000654,AT4G08685
ath:AT4G08690,AT4G08690,Bra000655,AT4G08690
ath:AT4G08810,SUB1,Bra000656,AT4G08810
ath:AT4G08850,AT4G08850,Bra000657,AT4G08850
ath:AT4G08900,ARGAH1,Bra000659,AT4G08900
ath:AT4G08950,EXO,Bra000660,AT4G08950
ath:AT4G08960,AT4G08960,Bra000661,AT4G08960
ath:AT4G09010,TL29,Bra000663,AT4G09010
ath:AT5G40080,AT5G40080,Bra000666,AT5G40080
ath:AT4G09020,ISA3,Bra000667,AT4G09020
ath:AT1G43600,AT1G43600,Bra000671,AT1G43600
ath:AT4G09060,AT4G09060,Bra000672,AT4G09060
ath:AT4G09130,AT4G09130,Bra000673,AT4G09130
ath:AT4G09140,MLH1,Bra000674,AT4G09140
ath:AT4G09160,AT4G09160,Bra000675,AT4G09160
ath:AT4G09170,AT4G09170,Bra000676,AT4G09170
ath:AT3G57710,AT3G57710,Bra000677,AT3G57710
ath:AT4G09190,AT4G09190,Bra000678,AT4G09190
ath:AT4G09340,AT4G09340,Bra000679,AT4G09340
ath:AT4G09460,MYB6,Bra000680,AT4G09460
ath:AT4G09510,CINV2,Bra000681,AT4G09510
ath:AT4G09530,AT4G09530,Bra000682,AT4G09530
ath:AT4G09560,AT4G09560,Bra000683,AT4G09560
ath:AT4G09570,CPK4,Bra000684,AT4G09570
ath:AT4G09620,AT4G09620,Bra000685,AT4G09620
ath:AT4G09670,AT4G09670,Bra000688,AT4G09670
ath:AT4G09730,RH39,Bra000690,AT4G09730
ath:AT4G09810,AT4G09810,Bra000693,AT4G09810
ath:AT4G09830,AT4G09830,Bra000694,AT4G09830
ath:AT4G10020,HSD5,Bra000697,AT4G10020
ath:AT4G10030,AT4G10030,Bra000698,AT4G10030
ath:AT4G10040,CYTC-2,Bra000699,AT4G10040
ath:AT4G10050,AT4G10050,Bra000700,AT4G10050
ath:AT4G10170,AT4G10170,Bra000701,AT4G10170
ath:AT4G10180,DET1,Bra000702,AT4G10180
ath:AT4G10250,ATHSP22.0,Bra000703,AT4G10250
ath:AT4G10260,AT4G10260,Bra000704,AT4G10260
ath:AT4G10280,AT4G10280,Bra000705,AT4G10280
ath:AT4G10300,AT4G10300,Bra000706,AT4G10300
ath:AT4G10340,LHCB5,Bra000708,AT4G10340
ath:AT4G10350,NAC070,Bra000709,AT4G10350
ath:AT4G10500,AT4G10500,Bra000713,AT4G10500
ath:AT4G10570,UBP9,Bra000714,AT4G10570
ath:AT4G10630,AT4G10630,Bra000716,AT4G10630
ath:AT4G10640,IQD16,Bra000717,AT4G10640
ath:AT4G10710,SPT16,Bra000719,AT4G10710
ath:AT4G30570,AT4G30570,Bra000720,AT4G30570
ath:AT4G10790,AT4G10790,Bra000721,AT4G10790
ath:AT4G10840,KLCR1,Bra000724,AT4G10840
ath:AT4G10920,KELP,Bra000728,AT4G10920
ath:AT4G10930,AT4G10930,Bra000729,AT4G10930
ath:AT4G14180,PRD1,Bra000733,AT4G14180
ath:AT4G11140,CRF1,Bra000736,AT4G11140
ath:AT4G11220,BTI2,Bra000739,AT4G11220
ath:AT4G11260,SGT1B,Bra000741,AT4G11260
ath:AT4G11360,RHA1B,Bra000742,AT4G11360
ath:AT4G11470,CRK31,Bra000744,AT4G11470
ath:AT4G11560,AT4G11560,Bra000747,AT4G11560
ath:AT4G11890,ARCK1,Bra000754,AT4G11890
ath:AT4G11910,AT4G11910,Bra000755,AT4G11910
ath:AT4G11920,CCS52A2,Bra000756,AT4G11920
ath:AT4G11960,PGRL1B,Bra000757,AT4G11960
ath:AT4G12030,BAT5,Bra000760,AT4G12030
ath:AT4G12230,AT4G12230,Bra000766,AT4G12230
ath:AT4G12240,AT4G12240,Bra000767,AT4G12240
ath:AT4G10660,AT4G10660,Bra000770,AT4G10660
ath:AT4G12410,AT4G12410,Bra000772,AT4G12410
ath:AT4G12460,ORP2B,Bra000774,AT4G12460
ath:AT4G12500,AT4G12500,Bra000775,AT4G12500
ath:AT4G12510,AT4G12510,Bra000778,AT4G12510
ath:AT4G12610,RAP74,Bra000782,AT4G12610
ath:AT4G03965,AT4G03965,Bra000784,AT4G03965
ath:AT4G04025,AT4G04025,Bra000786,AT4G04025
ath:AT4G04210,PUX4,Bra000787,AT4G04210
ath:AT4G04320,AT4G04320,Bra000788,AT4G04320
ath:AT4G04340,AT4G04340,Bra000789,AT4G04340
ath:AT4G04350,EMB2369,Bra000791,AT4G04350
ath:AT4G04360,AT4G04360,Bra000792,AT4G04360
ath:AT4G04450,WRKY42,Bra000793,AT4G04450
ath:AT4G04480,AT4G04480,Bra000795,AT4G04480
ath:AT4G04510,CRK38,Bra000799,AT4G04510
ath:AT4G04500,CRK37,Bra000800,AT4G04500
ath:AT1G03660,AT1G03660,Bra000801,AT1G03660
ath:AT4G04640,ATPC1,Bra000802,AT4G04640
ath:AT4G04670,AT4G04670,Bra000803,AT4G04670
ath:AT4G04745,AT4G04745,Bra000804,AT4G04745
ath:AT4G04830,MSRB5,Bra000806,AT4G04830
ath:AT4G04940,AT4G04940,Bra000809,AT4G04940
ath:AT4G04950,GRXS17,Bra000810,AT4G04950
ath:AT4G05030,AT4G05030,Bra000812,AT4G05030
ath:AT1G66100,AT1G66100,Bra000815,AT1G66100
ath:AT4G03565,AT4G03565,Bra000819,AT4G03565
ath:AT4G03560,TPC1,Bra000820,AT4G03560
ath:AT4G03420,AT4G03420,Bra000825,AT4G03420
ath:AT4G03410,AT4G03410,Bra000826,AT4G03410
ath:AT1G80960,AT1G80960,Bra000832,AT1G80960
ath:AT4G03290,AT4G03290,Bra000836,AT4G03290
ath:AT4G03280,PETC,Bra000837,AT4G03280
ath:AT4G03240,FH,Bra000839,AT4G03240
ath:AT4G03210,XTH9,Bra000840,AT4G03210
ath:AT4G03190,GRH1,Bra000842,AT4G03190
ath:AT4G03080,BSL1,Bra000846,AT4G03080
ath:AT4G02930,AT4G02930,Bra000853,AT4G02930
ath:AT4G02920,AT4G02920,Bra000854,AT4G02920
ath:AT4G02900,AT4G02900,Bra000855,AT4G02900
ath:AT4G02850,AT4G02850,Bra000859,AT4G02850
ath:AT4G02840,AT4G02840,Bra000860,AT4G02840
ath:AT4G02800,AT4G02800,Bra000862,AT4G02800
ath:AT4G02790,EMB3129,Bra000863,AT4G02790
ath:AT4G02740,AT4G02740,Bra000865,AT4G02740
ath:AT1G56220,AT1G56220,Bra000867,AT1G56220
ath:AT4G02680,EOL1,Bra000868,AT4G02680
ath:AT4G02660,AT4G02660,Bra000869,AT4G02660
ath:AT4G02620,AT4G02620,Bra000871,AT4G02620
ath:AT4G02590,UNE12,Bra000872,AT4G02590
ath:AT4G02580,AT4G02580,Bra000873,AT4G02580
ath:AT4G02480,AT4G02480,Bra000878,AT4G02480
ath:AT4G02450,AT4G02450,Bra000879,AT4G02450
ath:AT4G02420,AT4G02420,Bra000881,AT4G02420
