Gene stable ID,Transcript stable ID,Transcript name,Gene description,GOSlim GOA Accession(s),GOSlim GOA Description,BrassEnsembl ID
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0006629,lipid metabolic process,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0009058,biosynthetic process,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0005575,cellular_component,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0016020,membrane,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0003824,catalytic activity,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0003674,molecular_function,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0016787,hydrolase activity,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0008150,biological_process,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0008152,metabolic process,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0005975,carbohydrate metabolic process,
Bra025783,Bra025783.1,,"AT1G19940 (E=9e-241) AtGH9B5 | AtGH9B5 (Arabidopsis thaliana Glycosyl Hydrolase 9B5); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds ",GO:0009056,catabolic process,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0008150,biological_process,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009987,cellular process,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0008152,metabolic process,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0015979,photosynthesis,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0005575,cellular_component,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009536,plastid,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009507,chloroplast,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0016020,membrane,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009579,thylakoid,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009628,response to abiotic stimulus,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0009416,response to light stimulus,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0003674,molecular_function,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0005488,binding,
Bra037913,Bra037913.1,,AT4G10340 (E=2e-136) LHCB5 | LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding ,GO:0006091,generation of precursor metabolites and energy,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0003824,catalytic activity,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0003674,molecular_function,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0016787,hydrolase activity,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0008150,biological_process,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0016043,cellular component organization,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0009987,cellular process,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0030234,enzyme regulator activity,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0008152,metabolic process,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0009056,catabolic process,
Bra028256,Bra028256.1,,AT5G51490 (E=3e-257) | pectinesterase family protein ,GO:0005975,carbohydrate metabolic process,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0005575,cellular_component,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0005634,nucleus,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0003674,molecular_function,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0005488,binding,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0005515,protein binding,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0003700,DNA-binding transcription factor activity,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0140110,transcription regulator activity,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0008150,biological_process,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0003677,DNA binding,
Bra031865,Bra031865.1,BrabHLH182-201,,GO:0003676,nucleic acid binding,
Bra017446,Bra017446.1,,AT2G01520 (E=2e-075) MLP328 | MLP328 (MLP-LIKE PROTEIN 328); copper ion binding ,GO:0008150,biological_process,
Bra017446,Bra017446.1,,AT2G01520 (E=2e-075) MLP328 | MLP328 (MLP-LIKE PROTEIN 328); copper ion binding ,GO:0006950,response to stress,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0003674,molecular_function,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0005488,binding,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0005575,cellular_component,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0005576,extracellular region,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0008150,biological_process,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0006950,response to stress,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0003824,catalytic activity,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0009987,cellular process,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0008152,metabolic process,
Bra037176,Bra037176.1,,AT5G66390 (E=6e-173) | peroxidase 72 (PER72) (P72) (PRXR8) ,GO:0009056,catabolic process,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0003674,molecular_function,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0005488,binding,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0008150,biological_process,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0003677,DNA binding,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0003676,nucleic acid binding,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0005575,cellular_component,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0005634,nucleus,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0003700,DNA-binding transcription factor activity,
Bra014752,Bra014752.1,,AT3G55370 (E=3e-103) OBP3 | OBP3 (OBF-BINDING PROTEIN 3); DNA binding / transcription factor ,GO:0140110,transcription regulator activity,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0003674,molecular_function,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0005488,binding,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0005575,cellular_component,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0005737,cytoplasm,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0003824,catalytic activity,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0016787,hydrolase activity,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0005515,protein binding,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0008150,biological_process,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0008152,metabolic process,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0005829,cytosol,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0006139,nucleobase-containing compound metabolic process,
Bra024140,Bra024140.1,,"AT2G19570 (E=3e-068) CDA1, AT-CDA1, DESZ | CDA1 (CYTIDINE DEAMINASE 1); cytidine deaminase ",GO:0009056,catabolic process,
Bra035150,Bra035150.1,,"AT1G80820 (E=3e-160) CCR2, ATCCR2 | CCR2 (CINNAMOYL COA REDUCTASE); cinnamoyl-CoA reductase ",GO:0003824,catalytic activity,
Bra035150,Bra035150.1,,"AT1G80820 (E=3e-160) CCR2, ATCCR2 | CCR2 (CINNAMOYL COA REDUCTASE); cinnamoyl-CoA reductase ",GO:0003674,molecular_function,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0005618,cell wall,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0030312,external encapsulating structure,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0005575,cellular_component,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0003674,molecular_function,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0030234,enzyme regulator activity,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0008150,biological_process,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0016043,cellular component organization,
Bra001655,Bra001655.1,,AT3G17130 (E=4e-073) | invertase/pectin methylesterase inhibitor family protein ,GO:0009987,cellular process,
Bra022308,Bra022308.1,,AT3G18280 (E=5e-036) | protease inhibitor/seed storage/lipid transfer protein (LTP) family protein ,GO:0008150,biological_process,
Bra022308,Bra022308.1,,AT3G18280 (E=5e-036) | protease inhibitor/seed storage/lipid transfer protein (LTP) family protein ,GO:0006810,transport,
Bra022308,Bra022308.1,,AT3G18280 (E=5e-036) | protease inhibitor/seed storage/lipid transfer protein (LTP) family protein ,GO:0003674,molecular_function,
Bra022308,Bra022308.1,,AT3G18280 (E=5e-036) | protease inhibitor/seed storage/lipid transfer protein (LTP) family protein ,GO:0005488,binding,
Bra022308,Bra022308.1,,AT3G18280 (E=5e-036) | protease inhibitor/seed storage/lipid transfer protein (LTP) family protein ,GO:0008289,lipid binding,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0005575,cellular_component,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0005634,nucleus,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0008150,biological_process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0009987,cellular process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0008152,metabolic process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0006139,nucleobase-containing compound metabolic process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0006950,response to stress,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0006259,DNA metabolic process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0019538,protein metabolic process,
Bra016355,Bra016355.1,,"AT1G23260 (E=4e-085) MMZ1, UEV1A | MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase ",GO:0036211,protein modification process,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0005618,cell wall,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0030312,external encapsulating structure,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0005575,cellular_component,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0003674,molecular_function,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0030234,enzyme regulator activity,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0008150,biological_process,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0016043,cellular component organization,
Bra003945,Bra003945.1,,AT1G70720 (E=5e-072) | invertase/pectin methylesterase inhibitor family protein ,GO:0009987,cellular process,
Bra009348,Bra009348.1,,AT3G52350 (E=5e-017) | D111/G-patch domain-containing protein ,GO:0003674,molecular_function,
Bra009348,Bra009348.1,,AT3G52350 (E=5e-017) | D111/G-patch domain-containing protein ,GO:0005488,binding,
Bra009348,Bra009348.1,,AT3G52350 (E=5e-017) | D111/G-patch domain-containing protein ,GO:0003676,nucleic acid binding,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0005575,cellular_component,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0016020,membrane,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0003824,catalytic activity,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0003674,molecular_function,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0016740,transferase activity,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0016301,kinase activity,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0005488,binding,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0000166,nucleotide binding,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0005886,plasma membrane,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0008150,biological_process,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0009987,cellular process,
Bra000800,Bra000800.1,,AT4G04500 (E=2e-279) | protein kinase family protein ,GO:0007165,signal transduction,
Bra030620,Bra030620.1,,AT1G05680 (E=4e-234) | UDP-glucoronosyl/UDP-glucosyl transferase family protein ,GO:0003824,catalytic activity,
Bra030620,Bra030620.1,,AT1G05680 (E=4e-234) | UDP-glucoronosyl/UDP-glucosyl transferase family protein ,GO:0003674,molecular_function,
Bra030620,Bra030620.1,,AT1G05680 (E=4e-234) | UDP-glucoronosyl/UDP-glucosyl transferase family protein ,GO:0016740,transferase activity,
Bra030620,Bra030620.1,,AT1G05680 (E=4e-234) | UDP-glucoronosyl/UDP-glucosyl transferase family protein ,GO:0005575,cellular_component,
Bra030620,Bra030620.1,,AT1G05680 (E=4e-234) | UDP-glucoronosyl/UDP-glucosyl transferase family protein ,GO:0005737,cytoplasm,
Bra013399,Bra013399.1,,AT4G19460 (E=2e-247) | glycosyl transferase family 1 protein ,GO:0003824,catalytic activity,
Bra013399,Bra013399.1,,AT4G19460 (E=2e-247) | glycosyl transferase family 1 protein ,GO:0003674,molecular_function,
Bra013399,Bra013399.1,,AT4G19460 (E=2e-247) | glycosyl transferase family 1 protein ,GO:0016740,transferase activity,
Bra028523,Bra028523.1,,"AT5G42050 (E=6e-091) | FUNCTIONS IN: molecular_function unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Development and cell death domain (InterPro:IPR013989), Kelch related (InterPro:IPR013089); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27090.1); Has 5084 Blast hits to 2870 proteins in 85 species: Archae - 0; Bacteria - 24; Metazoa - 270; Fungi - 58; Plants - 157; Viruses - 8; Other Eukaryotes - 4567 (source: NCBI BLink). ",GO:0008150,biological_process,
Bra028523,Bra028523.1,,"AT5G42050 (E=6e-091) | FUNCTIONS IN: molecular_function unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Development and cell death domain (InterPro:IPR013989), Kelch related (InterPro:IPR013089); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27090.1); Has 5084 Blast hits to 2870 proteins in 85 species: Archae - 0; Bacteria - 24; Metazoa - 270; Fungi - 58; Plants - 157; Viruses - 8; Other Eukaryotes - 4567 (source: NCBI BLink). ",GO:0009987,cellular process,
Bra028523,Bra028523.1,,"AT5G42050 (E=6e-091) | FUNCTIONS IN: molecular_function unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Development and cell death domain (InterPro:IPR013989), Kelch related (InterPro:IPR013089); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27090.1); Has 5084 Blast hits to 2870 proteins in 85 species: Archae - 0; Bacteria - 24; Metazoa - 270; Fungi - 58; Plants - 157; Viruses - 8; Other Eukaryotes - 4567 (source: NCBI BLink). ",GO:0006950,response to stress,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0003824,catalytic activity,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0003674,molecular_function,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0005488,binding,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0008150,biological_process,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0008152,metabolic process,
Bra022920,Bra022920.1,,"AT2G25450 (E=4e-121) | 2-oxoglutarate-dependent dioxygenase, putative ",GO:0009058,biosynthetic process,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0003674,molecular_function,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0005488,binding,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0000166,nucleotide binding,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0003824,catalytic activity,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0005575,cellular_component,
Bra023122,Bra023122.1,,AT1G30700 (E=2e-265) | FAD-binding domain-containing protein ,GO:0005576,extracellular region,
